Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Astral Wonder,Moon Oceans,Solitude in the Stars,181090,False,59,0,1,5,0.952,0.171,0.143,0.924,0.111,-24.178,0.0431,0.0374,72.116,YOGA
Evergreen,Cooper Sams,Evergreen,225882,False,61,6,1,5,0.993,0.131,0.086,0.877,0.0794,-20.439,0.0332,0.0397,54.749,YOGA
Karlavagnen,Karlavagnen,Karlavagnen,203454,False,58,11,1,5,0.84,0.0916,0.0343,0.762,0.17,-26.745,0.0419,0.0424,82.815,YOGA
Montana,Isobel Belano,Montana,166324,False,59,3,1,4,0.762,0.338,0.0901,0.699,0.0891,-22.303,0.0323,0.115,135.633,YOGA
Electron,Sisi Row,Electron,214800,False,57,0,1,4,0.895,0.25,0.201,0.969,0.227,-21.141,0.0377,0.0663,59.005,YOGA
Forever Still,Northern Lights,Outdoors Meditations,152870,False,57,4,1,3,0.811,0.202,0.181,0.938,0.102,-21.113,0.0346,0.0376,87.996,YOGA
Fading Out,Steven Goldmund,Integrating,247249,False,60,8,1,4,0.98,0.133,0.0477,0.957,0.104,-26.711,0.0502,0.145,68.304,YOGA
Mi Querida Flor,Momento,Focus,155294,False,60,7,1,4,0.95,0.317,0.188,0.951,0.0691,-21.665,0.0477,0.0634,68.39,YOGA
Sueño tranquilo,Pedro Caceres,Sueño tranquilo,182240,False,61,7,1,5,0.983,0.239,0.0237,0.95,0.107,-22.072,0.0403,0.0698,140.616,YOGA
Everyday Peace,Moira Kent,Everyday Peace,135325,False,59,2,1,3,0.925,0.194,0.0795,0.898,0.104,-21.832,0.04,0.0378,76.547,YOGA
Sleeping Trees,John Ocean,Forest Wisdom,183689,False,60,6,0,4,0.946,0.211,0.252,0.959,0.0769,-20.785,0.0379,0.0377,77.372,YOGA
Affinity,FANAR,Affinity,172000,False,57,0,0,4,0.84,0.286,0.199,0.865,0.0943,-17.012,0.0377,0.0952,116.09,YOGA
Ava,William Edessa,Novo,201000,False,56,2,1,3,0.995,0.182,0.128,0.933,0.0911,-20.185,0.0455,0.039,84.527,YOGA
Beyond The Mind,Enapay,Beyond The Mind,152848,False,55,4,0,1,0.851,0.175,0.08,0.917,0.105,-22.214,0.0451,0.0374,78.566,YOGA
