"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:48NXpYRuvv9izul4oXhqS9","Salió El Sol","spotify:artist:33ScadVnbm2X8kkUqOkC6Z","Don Omar","spotify:album:5LbfmeWh5cvLpR1Nfvdch5","King Of Kings","1","8","315293","spotify:user:merilpz","2020-04-04T21:03:35Z"
"spotify:track:2qM1Uus4I6Yx2BGlIzXaI0","Es Un Secreto","spotify:artist:2jSGzJw0ebJLu7OLVSOcBP","Plan B","spotify:album:5uja4ElM6i6neeFTAa4Itw","House of Pleasure","1","6","190560","spotify:user:merilpz","2020-04-04T21:04:03Z"
"spotify:track:2Eg6dOam7cAe5turf2bnCg","En La Cama (feat. Daddy Yankee)","spotify:artist:1SupJlEpv7RS2tPNRaHViT, spotify:artist:4VMYDCV2IEDYJArk749S6m","Nicky Jam, Daddy Yankee","spotify:album:2qSyMVTIKLArOx4GNcvutB","Exitos","1","1","157023","spotify:user:merilpz","2020-04-04T21:04:13Z"
"spotify:track:1kQqiC1rS1FiuVpeBKN0QN","Rakata","spotify:artist:1wZtkThiXbVNtj6hee6dz9","Wisin & Yandel","spotify:album:0mfiGkVJST0ysEVznu2aZP","Pa'l Mundo","1","10","172680","spotify:user:merilpz","2020-04-04T21:04:31Z"
"spotify:track:10bbgurV9w05vJVGAX9jYq","Yo No Soy Tu Marido","spotify:artist:1SupJlEpv7RS2tPNRaHViT","Nicky Jam","spotify:album:3HD7DUUJXbxVd8q6Vujpri","Reggaeton Diamond Collection","2","2","199367","spotify:user:merilpz","2020-04-04T21:04:39Z"
"spotify:track:6z5Xrx58p5Bs18RIe6KXbI","Lo Que Pasó, Pasó","spotify:artist:4VMYDCV2IEDYJArk749S6m","Daddy Yankee","spotify:album:5i2HhIrYyMNQvmsBk9h8Im","Barrio Fino (Bonus Track Version)","1","8","210933","spotify:user:merilpz","2020-04-04T21:04:44Z"
"spotify:track:6G4U9avyBNEfP0fAIduev3","Ella Y Yo - Featuring Don Omar","spotify:artist:1qto4hHid1P71emI6Fd8xi, spotify:artist:33ScadVnbm2X8kkUqOkC6Z","Aventura, Don Omar","spotify:album:3dCEXNx36W29EYCMUAx5p5","God's Project","1","9","267786","spotify:user:merilpz","2020-04-04T21:04:55Z"
"spotify:track:6ODIW5KyJKtXY2rOuXv9WW","Noche de Travesura","spotify:artist:2TjgzYcbTdsZjbT9OItIeB","Héctor ""El Father""","spotify:album:0O7WZyeOifrJq3nExwSPE4","Flow La Discoteca Special Edition","1","2","212733","spotify:user:merilpz","2020-04-04T21:05:04Z"
"spotify:track:1WZ80MjGaTqyPPRTP5TJQf","La Nueva Y La Ex","spotify:artist:4VMYDCV2IEDYJArk749S6m","Daddy Yankee","spotify:album:0eSykMeX49xdgWLTT4aZlW","King Daddy","1","4","196933","spotify:user:merilpz","2020-04-04T21:05:22Z"
"spotify:track:69Ej1xrGjOcHvIMtMKxK0G","Dile","spotify:artist:33ScadVnbm2X8kkUqOkC6Z","Don Omar","spotify:album:4vOvr0tdZWoIGjnHe9jLqz","The Last Don","1","4","204600","spotify:user:merilpz","2020-04-04T21:05:28Z"
"spotify:track:3BffVF4K7OelPuo46KUqhe","Ella Me Levanto","spotify:artist:4VMYDCV2IEDYJArk749S6m","Daddy Yankee","spotify:album:7lTcWPFUnZtJ2zQiV9x4xk","El Cartel: The Big Boss (Explicit Version)","1","6","209493","spotify:user:merilpz","2020-04-04T21:05:35Z"
"spotify:track:3uvypVUsiIr1B0BccIcsEh","6 AM","spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5, spotify:artist:329e4yvIujISKGKz1BZZbO","J Balvin, Farruko","spotify:album:5Fqdd85mAoGDp0K9lmbPDp","La Familia","1","5","243226","spotify:user:merilpz","2020-04-04T21:05:38Z"
"spotify:track:7uUYUy2qLfev9ppNvFBHpX","Pasarela","spotify:artist:4VMYDCV2IEDYJArk749S6m","Daddy Yankee","spotify:album:6Hu1DObY1WeKWxHfeaOcFg","Prestige","1","5","193626","spotify:user:merilpz","2020-04-04T21:05:43Z"
"spotify:track:4oROqjxNSBrVxrcSaW77Mc","Perros Salvajes","spotify:artist:4VMYDCV2IEDYJArk749S6m","Daddy Yankee","spotify:album:6Hu1DObY1WeKWxHfeaOcFg","Prestige","1","1","190310","spotify:user:merilpz","2020-04-04T21:05:47Z"
"spotify:track:0x6UyfOikAQ7GpiGaYaPey","Ella No Sigue Modas","spotify:artist:1ackd5XprZEkH3McKbQD51, spotify:artist:33ScadVnbm2X8kkUqOkC6Z","Juan Magán, Don Omar","spotify:album:67hCGmMfz8cg2YLO0xZWnx","The King Of Dance","1","3","234000","spotify:user:merilpz","2020-04-04T21:05:50Z"
"spotify:track:6sHBvzRsuGunQTfCk18KXi","Bailando por Ahi","spotify:artist:1ackd5XprZEkH3McKbQD51","Juan Magán","spotify:album:67hCGmMfz8cg2YLO0xZWnx","The King Of Dance","1","14","180453","spotify:user:merilpz","2020-04-04T21:05:53Z"
"spotify:track:0dgwWXkfcWyB2a2qTgEc0F","Verano Azul","spotify:artist:1ackd5XprZEkH3McKbQD51","Juan Magán","spotify:album:687yvcM8ZmPohOsrrXh8Zu","Verano Azul","1","1","190560","spotify:user:merilpz","2020-04-04T21:05:57Z"
"spotify:track:3bioEe7UulLcATyOJaW1Wh","Tacata' - Radio Edit","spotify:artist:44Qx9J57sKKNFIASxM4dWh, spotify:artist:3xqMMZDqbdKKDLb7CGehqw, spotify:artist:3XEHpvs63FYwwGhcgaoOPD, spotify:artist:09I6kRZ5pakTrYunXBsXng","Tacabro, Romano, Sapienza, Ruly Rodriguez","spotify:album:185CTsDdeLRtyh9FMGM1CB","Tacata'","1","1","210000","spotify:user:merilpz","2020-04-04T21:06:09Z"
"spotify:track:6ukh1NxuelpjLOZBlcBCmh","Llamado De Emergencia","spotify:artist:4VMYDCV2IEDYJArk749S6m","Daddy Yankee","spotify:album:7n8EDZcG8iOUezWUEK07Ba","Talento De Barrio","1","5","239920","spotify:user:merilpz","2020-04-04T21:07:04Z"
