"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:7hv7synVPhVu30Ex2amJQc","No Te Preocupes por Mi","spotify:artist:5Hsv8dUHHOdnn72q4XIVz7","Leiva","spotify:album:1T2uKSyUf7DBWOABtsmYLM","Nuclear","1","3","229406","spotify:user:martinigoyanes7","2019-07-23T22:45:19Z"
"spotify:track:1LuW4h5s9ZumBbMh7qhDDj","Una Foto en Blanco y Negro","spotify:artist:5RK6c1tyaKpwcDpbgCGNgj","El Canto Del Loco","spotify:album:6Fs4ZLz6N8IZtXR20zjwjy","Estados de Animo","1","10","209893","spotify:user:martinigoyanes7","2019-07-23T22:45:28Z"
"spotify:track:1uiX0bdc2sPHcL1k02bC2G","¿CÓMO TE VA, QUERIDA?","spotify:artist:2IMZYfNi21MGqxopj9fWx8, spotify:artist:6vPXtLmNd3mW0dd1Rb9eQ9","Rels B, Don Patricio","spotify:album:7uaxfvg8tcUtnHy1xEVuXr","¿CÓMO TE VA, QUERIDA?","1","1","206943","spotify:user:martinigoyanes7","2019-07-23T22:45:42Z"
"spotify:track:7anSoGdgtmJTAPZBzcPhO6","Cuaderno","spotify:artist:0KPX4Ucy9dk82uj4GpKesn, spotify:artist:14zUHaJZo1mnYtn6IBRaRP, spotify:artist:1SupJlEpv7RS2tPNRaHViT, spotify:artist:11YLRSsZA3YVuQQtHXKTlz, spotify:artist:77ziqFxp5gaInVrF2lj4ht, spotify:artist:1pQWsZQehhS4wavwh7Fnxd, spotify:artist:2LRoIwlKmHjgvigdNGBHNo","Dalex, Justin Quiles, Nicky Jam, Rafa Pabön, Sech, Lenny Tavárez, Feid","spotify:album:6stPNzjz40FWTiwlOR98Lp","Climaxxx","1","3","286506","spotify:user:martinigoyanes7","2019-07-23T22:46:03Z"
"spotify:track:5kwgMFf58HjfRnn536rRUP","Septiembre","spotify:artist:5yD3wtXDmbOloiFzO3km1M","LUNA KI","spotify:album:0T8P5mWXwgBN38yCWkGpQt","Unknown, 2034","1","3","125200","spotify:user:martinigoyanes7","2019-07-23T22:46:07Z"
"spotify:track:3wm27SCXXbKtLVv1B6JLFN","Love","spotify:artist:79N4S7UXdjo2fAh3OHJQuB, spotify:artist:5koJm9ovQfRX663SHUZmOG, spotify:artist:3ANLqALZI9BeYe12jl1r0Q","Hard GZ, Lil GZ, Tee Amara","spotify:album:60SJoCkqzuRJAziGJuJQmX","Versus","1","4","188173","spotify:user:martinigoyanes7","2019-07-23T22:46:58Z"
"spotify:track:6pK5edDoyrn4mWwRSVc2a5","Amor Genuino","spotify:artist:1i8SpTcr7yvPOmcqrbnVXY","Ozuna","spotify:album:1YlOaWSAKVR6BcnSvV9qfh","Amor Genuino","1","1","179936","spotify:user:martinigoyanes7","2019-07-23T22:47:02Z"
"spotify:track:1wg5exXlyD7mmntZwmmsvp","No Ves Que Es un Sueño?","spotify:artist:6vPXtLmNd3mW0dd1Rb9eQ9","Don Patricio","spotify:album:507EX6i0GGn2b4l2DGcl2y","La Dura Vida del Joven Rapero","1","6","256418","spotify:user:martinigoyanes7","2019-07-23T22:47:06Z"
"spotify:track:4AKWHLChPxYdXAB2cHmZB7","Controla","spotify:artist:00XhexlJEXQstHimpZN910, spotify:artist:2R21vXR83lH98kGeO99Y66","Brytiago, Anuel AA","spotify:album:4wyMa52v9YrNx0UgGyC35y","Controla","1","1","208000","spotify:user:martinigoyanes7","2019-07-23T22:47:21Z"
"spotify:track:4CN0WLHjzALfLxGIINN8tM","Desastre","spotify:artist:1aMt4A5jrQHxDYyC7rXgV0","Pol Granch","spotify:album:6DyXsdnXiCvKFFzsaNuXJK","Desastre","1","1","176663","spotify:user:martinigoyanes7","2019-07-23T22:48:44Z"
