"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:4E5P1XyAFtrjpiIxkydly4","Replay","spotify:artist:5tKXB9uuebKE34yowVaU3C","Iyaz","spotify:album:44hyrGuZKAvITbmrlhryf8","Replay","1","1","182306","spotify:user:tloboy","2019-12-24T19:34:15Z"
"spotify:track:2CEgGE6aESpnmtfiZwYlbV","Dynamite","spotify:artist:6MF9fzBmfXghAz953czmBC","Taio Cruz","spotify:album:0eGvq1J5Ke7VlLLOYIlY4k","The Rokstarr Hits Collection","1","1","202613","spotify:user:tloboy","2019-12-24T19:34:19Z"
"spotify:track:5rb9QrpfcKFHM1EUbSIurX","Yeah! (feat. Lil Jon & Ludacris)","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","Usher, Lil Jon, Ludacris","spotify:album:1RM6MGv6bcl6NrAG8PGoZk","Confessions (Expanded Edition)","1","2","250373","spotify:user:tloboy","2019-12-24T19:34:26Z"
"spotify:track:0qOnSQQF0yzuPWsXrQ9paz","Stereo Hearts (feat. Adam Levine)","spotify:artist:4IJczjB0fJ04gs4uvP0Fli, spotify:artist:4bYPcJP5jwMhSivRcqie2n","Gym Class Heroes, Adam Levine","spotify:album:2mumCpGmuE9iDeOvMx6XrB","The Papercut Chronicles II","1","4","210960","spotify:user:tloboy","2019-12-24T19:34:47Z"
"spotify:track:0wkGHuJlJNe8dvUfw9i6fK","S&M","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:2AqSpIGbwKylFrwGW4iO5x","Loud (Explicit Version)","1","1","243533","spotify:user:tloboy","2019-12-24T19:35:11Z"
"spotify:track:2M9ULmQwTaTGmAdXaXpfz5","Billionaire (feat. Bruno Mars)","spotify:artist:7o9Nl7K1Al6NNAHX6jn6iG, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Travie McCoy, Bruno Mars","spotify:album:1PruwGvQDfgh6CTSFWPNtn","Billionaire (feat. Bruno Mars)","1","1","211160","spotify:user:tloboy","2019-12-24T19:35:16Z"
"spotify:track:7pYfyrMNPn3wtoCyqcTVoI","Moves Like Jagger - Studio Recording From The Voice Performance","spotify:artist:04gDigrS5kc9YWfZHwBETP, spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","Maroon 5, Christina Aguilera","spotify:album:1snrPQMoTrBsKl73wzSxbn","Hands All Over (Revised International Standard version)","1","13","201493","spotify:user:tloboy","2019-12-24T19:35:20Z"
"spotify:track:386RUes7n1uM1yfzgeUuwp","The Lazy Song","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","spotify:album:6J84szYCnMfzEcvIcfWMFL","Doo-Wops & Hooligans","1","5","190213","spotify:user:tloboy","2019-12-24T19:35:23Z"
"spotify:track:4356Typ82hUiFAynbLYbPn","DJ Got Us Fallin' In Love (feat. Pitbull)","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:0TnOYISbd1XYRBk9myaseg","Usher, Pitbull","spotify:album:6A1F3Fkq5dYeYYNkXflcTX","Raymond v Raymond (Expanded Edition)","1","16","220800","spotify:user:tloboy","2019-12-24T19:35:26Z"
"spotify:track:5BSclXJTa9B0iURhUjZo50","La Tortura (feat. Alejandro Sanz)","spotify:artist:0EmeFodog0BfCgMzAIvKQp, spotify:artist:5sUrlPAHlS9NEirDB8SEbF","Shakira, Alejandro Sanz","spotify:album:3zHPYwiMJqa3hTBgk695Ae","Fijación Oral, Vol. 1","1","3","212893","spotify:user:tloboy","2019-12-24T19:35:29Z"
"spotify:track:1kJIakOzJ81dKcVebf6saA","Dare (La La La)","spotify:artist:0EmeFodog0BfCgMzAIvKQp","Shakira","spotify:album:54HLuBrH9xKiOqDJnIDTKR","Ultimate Workout","1","9","185728","spotify:user:tloboy","2019-12-24T19:35:36Z"
"spotify:track:4zy1s9GnxWsNzZp1688euA","Addicted to You","spotify:artist:0EmeFodog0BfCgMzAIvKQp","Shakira","spotify:album:3gR578qnw47M30LVBTjrlW","Sale el Sol","1","5","147480","spotify:user:tloboy","2019-12-24T19:36:13Z"
"spotify:track:3cHyrEgdyYRjgJKSOiOtcS","Timber (feat. Ke$ha)","spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:6LqNN22kT3074XbTVUrhzX","Pitbull, Kesha","spotify:album:2F7tejLHzTqFq2XLol9ZGy","Global Warming: Meltdown (Deluxe Version)","1","13","204160","spotify:user:tloboy","2019-12-24T19:36:15Z"
