Name,Artist,Album,Duration,Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
U Went 2 Far,Luca Lozano,Visions of Rhythm 2 EP,362804,False,2,10.0,0.0,4.0,0.00275,0.7959999999999999,0.78,0.89,0.0763,-14.818,0.0746,0.43,125.015,Disco
Different Circles,Luca Lozano,Dobb Meep / Different Circles,419013,False,27,11.0,0.0,4.0,0.115,0.807,0.642,0.78,0.111,-8.609,0.151,0.453,119.984,Disco
Dripbox,Luca Lozano,Dripbox,363518,False,3,7.0,1.0,4.0,0.0756,0.784,0.727,0.885,0.0784,-8.169,0.0463,0.476,123.004,Disco
Bear Samurai,Luca Lozano,Dripbox,368441,False,1,1.0,1.0,4.0,0.161,0.794,0.888,0.898,0.0466,-9.303,0.0688,0.637,126.042,Disco
Hot Trak,Luca Lozano,Dripbox,308285,False,2,8.0,1.0,4.0,6.42e-05,0.755,0.785,0.8190000000000001,0.285,-11.734000000000002,0.0423,0.146,119.991,Disco
Autonomika,Luca Lozano,Dripbox,294299,False,1,10.0,0.0,4.0,0.00287,0.787,0.813,0.939,0.104,-10.616,0.0705,0.397,123.901,Disco
Kush Groove,Luca Lozano,Visions of Rhythm EP,380704,False,2,10.0,0.0,4.0,0.000143,0.8059999999999999,0.835,0.918,0.106,-8.27,0.0513,0.446,119.007,Disco
Visions of Rhythm,Luca Lozano,Visions of Rhythm EP,308221,False,2,1.0,0.0,4.0,0.000203,0.807,0.5770000000000001,0.478,0.0701,-5.812,0.0483,0.545,127.995,Disco
2 Wangs in a Room,Luca Lozano,Visions of Rhythm EP,354663,False,3,7.0,1.0,4.0,0.0221,0.736,0.914,0.855,0.151,-6.7,0.0556,0.472,119.977,Disco
The Hunt,Mr. Ho,The Hunt EP,286739,False,1,1.0,1.0,4.0,0.000687,0.8,0.718,0.945,0.171,-12.018,0.0917,0.25,124.031,Disco
Ammunition,Mr. Ho,The Hunt EP,295233,False,2,11.0,0.0,4.0,0.0105,0.8,0.936,0.8759999999999999,0.104,-9.225,0.0408,0.884,123.997,Disco
