Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Crazy Blues,Mamie Smith,Mamie Smith Vol. 1 (1920-1921),202240,False,42,5,1,4,0.996,0.436,0.178,0.912,0.259,-13.36,0.0448,0.464,111.858,Blues
Ash Tray Blues,Papa Charlie Jackson,Papa Charlie Jackson Vol. 2 (1926 - 1928),178729,False,40,7,1,4,0.987,0.85,0.212,0.0298,0.114,-16.888,0.0948,0.781,121.146,Blues
Devil Got My Woman,Skip James,Legends Of Country Blues: The Complete Pre-War Recordings Of Skip James (Disc A),181786,False,44,2,1,4,0.986,0.508,0.151,0.0465,0.172,-14.984,0.0324,0.523,85.128,Blues
All Around Man,Bo Carter,Banana In Your Fruit Basket,180093,False,4,5,1,4,0.979,0.579,0.18,0.0403,0.0948,-15.873,0.0642,0.414,145.128,Blues
You Was Born To Die,Curley Weaver,Curley Weaver (1933-1935),171546,False,39,2,1,4,0.995,0.564,0.269,0.00483,0.132,-13.749,0.0443,0.602,103.355,Blues
Cross Road Blues,Robert Johnson,King Of The Delta Blues Singers,149560,False,54,9,1,4,0.93,0.675,0.311,0.000261,0.102,-11.959,0.0525,0.638,97.159,Blues
Match Box Blues (4446),Blind Lemon Jefferson,Blind Lemon Jefferson Vol. 2 (1927),183066,False,39,10,1,4,0.976,0.475,0.157,0.0348,0.0776,-19.063,0.0567,0.519,169.224,Blues
Guitar Rag,Sylvester Weaver,"The Slide Guitar: Bottles, Knives & Steel",178333,False,39,2,1,4,0.954,0.467,0.122,0.902,0.132,-22.241,0.0366,0.411,111.256,Blues
Grinnin' In Your Face,Son House,Son House Revisited Vol. 1,116839,False,40,10,0,1,0.956,0.487,0.651,4.08e-06,0.833,-10.824,0.741,0.652,101.651,Blues
Runaway Blues,Ma Rainey,Ma Rainey,146226,False,39,5,0,4,0.981,0.81,0.233,0.00517,0.132,-15.719,0.0515,0.555,86.258,Blues
Where Did You Sleep Last Night,Lead Belly,Absolutely The Best,181892,False,43,4,1,3,0.948,0.57,0.241,0.0224,0.111,-12.138,0.0473,0.543,115.352,Blues
Baby Please Don't Go,Big Joe Williams,"And Friends, Going Back To Crawford",164506,False,0,7,1,4,0.752,0.499,0.302,0.0266,0.129,-15.15,0.0495,0.565,167.083,Blues
Goin' Down Slow,St. Louis Jimmy Oden,Blues Legend - The Best Of,191533,False,20,3,1,4,0.993,0.678,0.228,0.0618,0.163,-15.007,0.0409,0.445,82.978,Blues
Truckin' My Blues Away,Blind Boy Fuller,Blind Boy Fuller Vol. 1 1935 - 1936,188447,False,40,7,0,4,0.995,0.615,0.255,0.0123,0.169,-14.599,0.0618,0.69,181.12,Blues
Lead Pencil Blues (1935),Johnny Temple,Back To The Crossroads: The Roots Of Robert Johnson,186520,False,3,11,1,4,0.972,0.662,0.222,4.74e-05,0.12,-15.116,0.0511,0.786,104.68,Blues
Some Day Baby,Lonnie Johnson,Lonnie Johnson Vol. 3 (1944-1947),188290,False,39,3,1,4,0.964,0.647,0.204,0.00351,0.123,-15.263,0.0454,0.686,83.102,Blues
