Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Flasheaste Amor,"Agapornis,Hernan y La Champion's Liga,Lauro",Flasheaste Amor,175263,False,66,1,1,3,0.183,0.776,0.559,0,0.0728,-7.548,0.0469,0.76,142.481,CocinaConCumbia
Procura,ChiChi Peralta,Pa' Otro La 'O,271031,False,1,8,1,4,0.279,0.805,0.757,0.000839,0.101,-7.46,0.0355,0.973,102.14,CocinaConCumbia
Dime si eres feliz,La Champions Liga,La Champions Liga,127973,False,62,6,0,4,0.283,0.741,0.59,0,0.179,-4.625,0.0913,0.961,179.861,CocinaConCumbia
Mentirosa,Rafaga,Imparables,195466,False,62,5,0,4,0.0833,0.635,0.823,0.000377,0.157,-4.54,0.102,0.821,200.943,CocinaConCumbia
El Bombón,Los Palmeras,Un Sentimiento,203933,False,62,2,0,4,0.199,0.74,0.768,0,0.0832,-5.037,0.0603,0.867,164.145,CocinaConCumbia
Su Florcita,Agrupación Marilyn,Historias,224352,False,61,9,1,4,0.348,0.497,0.629,0,0.0736,-6.628,0.0607,0.626,86.246,CocinaConCumbia
Me Volví A Acordar De Ti,Los Angeles De Charly,Te Voy A Enamorar,237093,False,66,2,1,4,0.0541,0.678,0.512,0,0.369,-6.532,0.0275,0.746,145.968,CocinaConCumbia
Onda Free,Los Verduleros,Greatest Hits,267964,False,51,7,1,4,0.124,0.788,0.705,0,0.487,-6.376,0.202,0.888,90.009,CocinaConCumbia
Jurabas Tu,Los del Fuego,25 Años (En Vivo),189152,False,61,2,1,4,0.498,0.752,0.702,0,0.0601,-5.024,0.0279,0.853,100.017,CocinaConCumbia
Se Parece Más A Ti,Jambao,Separece A Ti,248786,False,61,1,1,4,0.16,0.686,0.776,1.02e-05,0.133,-3.601,0.0837,0.94,179.915,CocinaConCumbia
Acaríñame,"Los Ángeles Azules,Julieta Venegas,Juan Ingaramo,Jay de la Cueva",Acaríñame,201293,False,60,2,1,4,0.27,0.726,0.746,0,0.0512,-5.451,0.0344,0.713,79.956,CocinaConCumbia
Tus Jefes No Me Quieren,Grupo Ensamble,Tus Jefes No Me Quieren,224256,False,65,3,0,4,0.174,0.637,0.547,1.68e-05,0.107,-8.43,0.097,0.963,180.054,CocinaConCumbia
Cómo estás,Ke Personajes,Cómo estás,227395,False,68,10,0,3,0.289,0.59,0.857,4.21e-06,0.0414,-1.986,0.0553,0.976,135.29,CocinaConCumbia
Como Una Novela,Los Acosta,Íconos 25 Éxitos,224293,False,60,0,1,4,0.285,0.75,0.617,0.00183,0.299,-8.022,0.0266,0.672,101.955,CocinaConCumbia
Todo Lo Encuentro En Ti,"Super Lamas,Raymix",Fake Lover,204280,False,56,7,0,4,0.113,0.654,0.829,0,0.291,-5.105,0.0302,0.792,89.009,CocinaConCumbia
Llora me llama,Grupo Play,Grupo Play (La poesía musical),192186,False,60,0,1,4,0.356,0.712,0.783,0,0.109,-2.525,0.0335,0.845,98.049,CocinaConCumbia
Deja De Llorar,El Polaco,Sigo Por El Objetivo,146240,False,63,11,1,4,0.279,0.75,0.943,0,0.0808,-4.28,0.228,0.779,90.095,CocinaConCumbia
Me Enamore,Agrupación Marilyn,Historias,212754,False,62,9,1,4,0.252,0.707,0.707,0.000107,0.19,-7.15,0.038,0.854,86.232,CocinaConCumbia
Y la Hice Llorar,"Los Ángeles Azules,Abel Pintos",Y la Hice Llorar,197800,False,60,2,1,4,0.25,0.555,0.728,0,0.144,-5.316,0.0348,0.6,91.988,CocinaConCumbia
Piensa En Mí,Grupo Mojado,Sueño Y Realidad,177040,False,70,10,1,4,0.348,0.72,0.538,0,0.0654,-8.874,0.0455,0.805,80.096,CocinaConCumbia
Algún Día Volveras,Santaferia,Algún Día Volveras,253822,True,65,7,1,4,0.372,0.645,0.712,9.67e-05,0.0501,-3.765,0.0312,0.687,93.994,CocinaConCumbia
Donde Estas,Hernan y La Champion's Liga,Donde Estas,157500,False,53,9,1,4,0.0786,0.47,0.828,0,0.178,-6.28,0.07,0.856,96.149,CocinaConCumbia
Sólo con un Beso,Los Totora,Sólo con un Beso,155878,False,61,7,1,4,0.0185,0.566,0.911,0,0.948,-4.831,0.0548,0.705,93.209,CocinaConCumbia
Maracuyá Con Mango,Sondelvalle,Rap Guachaca & Cumbia Reflexiva,154846,False,48,2,1,4,0.454,0.748,0.576,0,0.0628,-5.789,0.0754,0.926,90.863,CocinaConCumbia
Quisiera,"Natalie Perez,Coti Sorokin",Un Te de Tilo Por Favor (Edición Deluxe),234485,False,41,8,1,4,0.624,0.672,0.745,4.99e-06,0.107,-6.139,0.0544,0.766,90.04,CocinaConCumbia
Contigo,Los Verduleros,Greatest Hits,235049,False,45,9,1,4,0.0317,0.63,0.777,0,0.746,-5.776,0.0381,0.828,174.143,CocinaConCumbia
Amor A Primera Vista,"Los Ángeles Azules,Belinda,Lalo Ebratt,Horacio Palencia",Amor A Primera Vista,221346,False,54,0,1,4,0.223,0.675,0.821,5.11e-05,0.149,-6.017,0.0668,0.96,170.163,CocinaConCumbia
Olvídala,Los Palmeras,Voló La Paloma/Un Toque Diferente,290120,False,64,2,1,4,0.308,0.77,0.686,0,0.274,-5.187,0.0455,0.517,132.008,CocinaConCumbia
Ahora Te Vas,Santaferia,Ahora Te Vas,236589,False,55,11,0,4,0.0367,0.604,0.658,9e-06,0.174,-8.466,0.031,0.571,162.06,CocinaConCumbia
Tú Eres La Razón - Electrocumbia Remake,Raymix,Tú Eres La Razón (Electrocumbia Remake),195440,False,58,0,1,4,0.268,0.67,0.814,0,0.0987,-3.798,0.0421,0.965,187.974,CocinaConCumbia
Vienes y Te Vas,La Base,Cumbia Sabrosa,255164,False,57,0,1,4,0.144,0.684,0.725,0.0876,0.121,-5.613,0.0324,0.883,83.26,CocinaConCumbia
Te Vuelvo a Ver,La Combo Tortuga,La Terrible Pulenta,218000,False,1,9,1,4,0.0641,0.342,0.929,0,0.103,-5.368,0.0917,0.731,200.006,CocinaConCumbia
Llorarás Más De Diez Veces,Leo Mattioli,Aún Sigue La Lección,211213,False,62,6,0,4,0.607,0.613,0.683,0,0.189,-3.13,0.0304,0.684,85.031,CocinaConCumbia
Con la Misma Moneda,Karina,Con la Misma Moneda,266736,False,0,7,0,4,0.767,0.575,0.586,0,0.0637,-4.469,0.0376,0.729,175.965,CocinaConCumbia
Lo Intentamos (feat. Grupo Play),"Los Bonnitos,Grupo Play",Lo Intentamos (feat. Grupo Play),192000,False,55,9,1,4,0.315,0.65,0.888,2.4e-05,0.24,-4.439,0.0337,0.841,95.024,CocinaConCumbia
Las Maravillas de la Vida,"Los Ángeles Azules,Lali",Las Maravillas de la Vida,184480,False,48,2,0,4,0.314,0.579,0.737,0,0.0877,-4.652,0.0378,0.804,171.88,CocinaConCumbia
El Gil de Tu Ex,Santaferia,En el Ojo del Huracán,193826,False,63,7,1,4,0.49,0.774,0.77,1.25e-06,0.311,-3.074,0.0426,0.874,91.995,CocinaConCumbia
Que Lloro,Zona Cumbia,Que Lloro,200933,False,49,6,0,4,0.218,0.685,0.865,1.9e-05,0.333,-3.729,0.101,0.848,83.014,CocinaConCumbia
Una Cerveza,Rafaga,Una Cerveza,240853,False,67,10,1,4,0.316,0.747,0.907,0,0.0879,-1.921,0.0515,0.757,98.005,CocinaConCumbia
No Se Va,"Roman El Original,La Kuppe",No Se Va,201804,False,53,0,1,4,0.33,0.757,0.78,0,0.126,-3.321,0.0676,0.842,91.991,CocinaConCumbia
Gritaría,Los Telez,Muévete,225333,False,57,7,1,4,0.163,0.802,0.547,1.99e-05,0.088,-7.348,0.0593,0.881,160.025,CocinaConCumbia
