Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
You Say,Jay Ham,Wild Potions,121274,True,47,4,1,4,0.253,0.789,0.627,6.87e-06,0.153,-6.762,0.42,0.873,146.854,ChilloutSoul
Made For Each Other,Ben E. King,Smooth Soul,284040,False,44,9,1,4,0.47,0.729,0.75,0.00352,0.0509,-11.494,0.054,0.949,102.194,ChilloutSoul
Since I Had You,"Bubbs,Stan Taylor",Since I Had You,203546,True,48,11,0,4,0.242,0.746,0.521,2.73e-06,0.074,-6.963,0.211,0.487,81.898,ChilloutSoul
i cheated on u,Noé,ibynoé,198938,True,49,5,0,4,0.919,0.685,0.317,2.97e-06,0.263,-9.23,0.367,0.473,78.773,ChilloutSoul
I'll Show You,Bergrós,I'll Show You,257968,False,50,7,0,4,0.812,0.591,0.441,0,0.102,-9.394,0.0729,0.11,115.1,ChilloutSoul
I'll Come Running Back (Mr Scruff Edit),Sandra Wright,I'll Come Running Back (Mr Scruff Edit) - Single,125040,False,46,5,1,4,0.624,0.493,0.566,0.0178,0.526,-12.287,0.0393,0.368,95.325,ChilloutSoul
Time,"Free Nationals,Mac Miller,Kali Uchis",Time,210279,True,63,9,0,4,0.518,0.46,0.771,0.000197,0.0774,-7.088,0.328,0.296,88.83,ChilloutSoul
I’m So Glad (Part 1),Brian Holland,Love And Beauty…plus (The Complete Invictus Masters),239706,False,43,7,1,4,0.00528,0.701,0.656,0.000383,0.247,-11.56,0.0293,0.858,110.418,ChilloutSoul
Dedicated Man,The Counts,It's What's in the Groove,202000,False,39,0,0,4,0.138,0.703,0.611,0.0103,0.243,-9.745,0.0441,0.918,107.094,ChilloutSoul
Booty,"Lil Halima,Canto",Booty,140924,False,48,0,1,4,0.0947,0.659,0.587,5.91e-06,0.112,-7.569,0.056,0.546,99.932,ChilloutSoul
