Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Cover Me Up,Morgan Wallen,Cover Me Up,292662,False,78,2,1,3,0.236,0.525,0.437,7.03e-06,0.121,-8.285,0.0272,0.195,127.994,CryAnywhereAnytime
The Wisp Sings,Winter Aid,The Wisp Sings,313252,False,69,4,1,4,0.988,0.521,0.0889,0.182,0.0965,-19.457,0.0507,0.0479,115.43,CryAnywhereAnytime
Say You Won't Let Go,James Arthur,Back from the Edge,211466,False,86,10,1,4,0.695,0.358,0.557,0,0.0902,-7.398,0.059,0.494,85.043,CryAnywhereAnytime
you were good to me,"Jeremy Zucker,Chelsea Cutler",brent,219146,False,82,2,1,4,0.913,0.561,0.0848,2.62e-05,0.112,-15.099,0.0404,0.206,102.128,CryAnywhereAnytime
Please Notice,Christian Leave,Hope,116666,False,71,2,1,4,0.843,0.55,0.271,3.21e-06,0.107,-8.451,0.0297,0.198,111.344,CryAnywhereAnytime
Hold On,Chord Overstreet,Hold On,198853,False,83,2,1,4,0.469,0.618,0.443,0,0.0829,-9.681,0.0526,0.167,119.949,CryAnywhereAnytime
scared,Jeremy Zucker,brent,207520,False,71,5,1,4,0.933,0.583,0.075,1.4e-06,0.111,-15.843,0.0726,0.347,108.418,CryAnywhereAnytime
Feeling Whitney,Post Malone,Stoney (Deluxe),257266,True,79,0,1,4,0.787,0.412,0.227,4.69e-06,0.282,-12.696,0.0359,0.226,80.111,CryAnywhereAnytime
You Are The Reason,Calum Scott,Only Human (Deluxe),204326,False,83,10,1,3,0.918,0.331,0.235,0,0.137,-7.7,0.0299,0.218,171.232,CryAnywhereAnytime
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,"All I Want (From ""High School Musical: The Musical: The Series"")",177322,False,79,0,0,3,0.0902,0.376,0.43,0,0.0912,-6.585,0.0328,0.129,77.599,CryAnywhereAnytime
You're Somebody Else,flora cash,"Baby, It's Okay",219013,False,71,1,1,4,0.847,0.706,0.46,0.00796,0.106,-9.061,0.0296,0.23,102.984,CryAnywhereAnytime
"Up, Up & Away",Chance Peña,"Up, Up & Away",120000,False,60,9,0,3,0.943,0.656,0.0888,0.000129,0.117,-12.33,0.0428,0.576,131.611,CryAnywhereAnytime
Medicine,Daughter,The Wild Youth EP,258986,False,69,3,1,3,0.135,0.215,0.316,0.244,0.595,-12.201,0.0297,0.19,94.619,CryAnywhereAnytime
Wait,M83,The Fault In Our Stars: Music From The Motion Picture,341200,False,0,2,1,4,0.203,0.429,0.243,0.106,0.098,-9.827,0.0317,0.0775,147.927,CryAnywhereAnytime
Can I Be Him,James Arthur,Back from the Edge,246880,False,79,11,1,4,0.308,0.696,0.543,0,0.0939,-6.164,0.0489,0.479,107.969,CryAnywhereAnytime
Dancing On My Own,Calum Scott,Only Human (Deluxe),260285,False,82,1,1,4,0.839,0.682,0.173,3.26e-05,0.0983,-8.749,0.0314,0.236,112.663,CryAnywhereAnytime
Let It Go,James Bay,Chaos And The Calm,260533,False,73,1,1,4,0.818,0.546,0.311,1.65e-05,0.107,-10.396,0.0288,0.246,147.464,CryAnywhereAnytime
Godspeed,Frank Ocean,Blonde,177922,False,77,6,1,4,0.931,0.421,0.0952,0.000201,0.126,-12.561,0.0479,0.0773,109.698,CryAnywhereAnytime
When You Love Someone,James TW,First Impressions,216373,False,61,7,1,4,0.248,0.675,0.444,0,0.0531,-6.067,0.028,0.356,125.884,CryAnywhereAnytime
You're the Only One,"Chris Renzema,Moriah Hazeltine",Age to Age,337459,False,42,11,1,4,0.371,0.445,0.473,0,0.117,-8.333,0.0272,0.294,141.862,CryAnywhereAnytime
