Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Estamos Arriba,"Bad Bunny,Myke Towers",Estamos Arriba,225693,True,65,11,1,4,0.186,0.853,0.818,0.000255,0.18,-3.6,0.0922,0.546,149.839,DailyMix1
Es Normal,"Menor Menor,Dalex,Milly,Lary Over,Sharo Towers",Es Normal,249213,False,0,9,1,4,0.668,0.759,0.79,0.000155,0.0973,-3.767,0.0688,0.361,95.947,DailyMix1
Girl,Myke Towers,Easy Money Baby,186426,True,76,6,1,4,0.0325,0.733,0.708,0.000327,0.324,-4.957,0.0937,0.694,93.021,DailyMix1
100 Preguntas,Ozuna,100 Preguntas,178080,False,62,5,1,4,0.689,0.768,0.462,0,0.114,-5.907,0.0369,0.605,104.008,DailyMix1
Si Te Vas,"Sech,Ozuna",Si Te Vas,204906,False,72,0,1,4,0.0933,0.73,0.644,4.56e-06,0.143,-4.124,0.132,0.554,174.101,DailyMix1
Fantasias - Unplugged,"Rauw Alejandro,Farruko",Fantasias (Unplugged),200593,False,67,0,1,4,0.698,0.714,0.528,0,0.12,-5.219,0.0381,0.538,91.952,DailyMix1
La Forma en Que Me Miras,"Super Yei,Sammy,Myke Towers,Lenny Tavárez,Rafa Pabön",La Forma en Que Me Miras,307435,False,77,1,1,4,0.149,0.656,0.662,8e-06,0.16,-1.387,0.191,0.573,189.983,DailyMix1
Como Panas,Bryant Myers,Como Panas,198997,False,60,10,0,4,0.404,0.638,0.61,0,0.146,-5.929,0.213,0.379,157.956,DailyMix1
La Cama,"Lunay,Myke Towers",La Cama,189295,False,59,2,0,4,0.2,0.7,0.904,0.000471,0.182,-2.826,0.0568,0.816,173.973,DailyMix1
Medusa,"Jhay Cortez,Anuel AA,J Balvin",Medusa,305333,True,75,0,1,4,0.194,0.886,0.604,3.15e-06,0.107,-7.293,0.208,0.383,98.023,DailyMix1
Llama Al Sol,"Tito ""El Bambino""",Invencible,208213,False,40,4,1,4,0.00233,0.744,0.794,2.3e-06,0.139,-6.638,0.0587,0.857,124.938,DailyMix1
CANCIÓN CON YANDEL,"Yandel,Bad Bunny",LAS QUE NO IBAN A SALIR,209180,True,79,9,1,4,0.447,0.75,0.741,0,0.121,-4.43,0.402,0.495,79.968,DailyMix1
Diosa,Myke Towers,Easy Money Baby,214013,True,81,6,0,4,0.398,0.801,0.745,0.00603,0.153,-3.733,0.063,0.245,104.965,DailyMix1
Dime Cuantas Veces,"Micro TDH,Rels B",Dime Cuantas Veces,213959,False,67,5,0,4,0.335,0.753,0.572,2.02e-05,0.0858,-6.062,0.371,0.752,200.007,DailyMix1
Prueba Conmigo (Remix),"Tres Dedos,Omar Koonze,Nibal,Sixto Rein",Prueba Conmigo (Remix),218800,False,40,9,1,4,0.177,0.764,0.696,0,0.27,-5.691,0.0949,0.92,162.104,DailyMix1
Loco,Beéle,Loco,204000,False,73,6,1,4,0.158,0.82,0.565,2.45e-05,0.0469,-5.965,0.17,0.773,105.11,DailyMix1
HACIENDO QUE ME AMAS,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,217768,True,84,10,0,4,0.869,0.584,0.411,4.47e-05,0.0955,-7.147,0.0838,0.412,169.934,DailyMix1
China,"Anuel AA,Daddy Yankee,KAROL G,J Balvin,Ozuna",China,301714,False,80,7,1,4,0.0846,0.786,0.808,0.000289,0.0822,-3.702,0.0882,0.609,105.027,DailyMix1
Amor Genuino,Ozuna,Amor Genuino,179936,False,4,10,0,4,0.653,0.442,0.445,0,0.118,-4.071,0.0381,0.423,85.744,DailyMix1
Adicto a Ti,Jamby el Favo,Adicto a Ti,201211,False,48,9,1,4,0.187,0.767,0.941,0,0.124,-3.03,0.212,0.619,144.958,DailyMix1
Que Mas Pues - Remix,"Sech,Justin Quiles,Maluma,Nicky Jam,Farruko,Dalex,Lenny Tavárez",Que Mas Pues (Remix),305962,True,0,11,1,5,0.121,0.648,0.661,2.33e-06,0.12,-5.027,0.195,0.813,113.363,DailyMix1
Tattoo - Remix with Camilo,"Rauw Alejandro,Camilo",Tattoo (Remix with Camilo),222680,False,89,9,1,4,0.0413,0.848,0.637,0,0.0521,-5.132,0.156,0.698,96.988,DailyMix1
Desnuda,"Kris R.,Rauw Alejandro",Desnuda,257704,False,39,6,0,4,0.401,0.674,0.501,0,0.107,-6.496,0.132,0.477,82.066,DailyMix1
Dakiti,"Bad Bunny,Jhay Cortez",Dakiti,205090,True,100,4,0,4,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,0.145,109.928,DailyMix1
Déjate Llevar,"Juan Magán,Belinda,Manuel Turizo,Snova,B-Case",4.0,233080,False,58,7,1,4,0.0193,0.677,0.723,0,0.712,-5.539,0.0797,0.537,92.053,DailyMix1
Otro Trago - Remix,"Sech,Ozuna,Anuel AA,Darell,Nicky Jam",Otro Trago (Remix),287773,True,77,0,1,4,0.0711,0.725,0.79,1.14e-06,0.0602,-2.331,0.197,0.763,175.988,DailyMix1
La Difícil,Bad Bunny,YHLQMDLG,163084,True,83,8,0,4,0.0861,0.685,0.848,7.14e-06,0.0783,-4.561,0.0858,0.761,179.87,DailyMix1
Patek,"Ozuna,Anuel AA,Snoop Dogg",Nibiru,249733,False,55,0,1,4,0.418,0.839,0.554,0,0.0923,-6.124,0.181,0.727,139.952,DailyMix1
Tú,Myke Towers,Easy Money Baby,204746,True,65,5,0,4,0.258,0.805,0.744,1.4e-05,0.277,-5.627,0.149,0.825,123.999,DailyMix1
Aullando,"Wisin & Yandel,Romeo Santos","Los Campeones del Pueblo ""The Big Leagues""",226200,False,74,10,0,4,0.184,0.8,0.74,0,0.0558,-4.52,0.0479,0.775,90.035,DailyMix1
Mi Unico Amor,Rauli07,Bipolar,146015,False,40,0,1,4,0.644,0.591,0.593,0.000143,0.554,-8.45,0.0856,0.366,119.947,DailyMix1
Que Se Joda,"Anuel AA,Farruko,Zion",Emmanuel,226160,True,71,2,1,4,0.238,0.624,0.888,0,0.317,-2.13,0.099,0.824,180.088,DailyMix1
Llegará,Myke Towers,Llegará,207573,True,69,1,0,4,0.541,0.818,0.744,0.000661,0.106,-4.917,0.0327,0.741,101.996,DailyMix1
Aventura,"Lunay,Ozuna,Anuel AA",Épico,217129,False,72,5,1,4,0.223,0.729,0.726,0,0.101,-3.208,0.0422,0.876,92.025,DailyMix1
El Efecto,"Rauw Alejandro,Chencho Corleone",El Efecto,217142,False,80,0,0,4,0.406,0.849,0.781,0,0.0801,-4.635,0.159,0.893,84.041,DailyMix1
No Me Conoce - Remix,"Jhay Cortez,J Balvin,Bad Bunny",Famouz,309120,False,79,10,0,4,0.145,0.806,0.786,0,0.0935,-3.831,0.0741,0.58,91.973,DailyMix1
No Aguanto,"Pusho,Myke Towers,Alex Rose,Lyanno",No Aguanto,304326,True,37,5,0,4,0.215,0.848,0.612,0,0.11,-6.292,0.0933,0.463,127.031,DailyMix1
120,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,151506,True,81,2,0,4,0.451,0.636,0.656,7.97e-06,0.287,-5.542,0.0676,0.439,171.918,DailyMix1
Besame Sin Sentir,Micro TDH,Besame Sin Sentir,248485,True,70,8,1,4,0.229,0.459,0.581,0,0.199,-9.279,0.267,0.59,170.136,DailyMix1
Rutina,Myke Towers,Rutina,217226,True,66,1,1,4,0.553,0.834,0.75,6.59e-05,0.263,-2.799,0.18,0.858,95.98,DailyMix1
Relación,Sech,1 of 1,184254,False,84,7,0,4,0.125,0.805,0.562,4.96e-06,0.148,-3.117,0.105,0.767,172.094,DailyMix1
Hola - Remix,"Dalex,Lenny Tavárez,Chencho Corleone,Juhn,Dímelo Flow",Hola (Remix),249520,False,82,0,0,4,0.471,0.654,0.672,0,0.0781,-5.98,0.311,0.343,181.857,DailyMix1
