Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
UN VERANO EN MALLORCA,Rels B,UN VERANO EN MALLORCA,144039,False,67,7,1,4,0.131,0.862,0.621,2.66e-06,0.127,-6.177,0.249,0.632,97.973,DailyMix2
En Privao,"Juancho Marqués,J Dose",Blue Sundays,173592,True,45,6,1,4,0.622,0.647,0.872,0,0.21,-4.806,0.254,0.962,86.021,DailyMix2
Chocolatito,Pol Granch,Tengo Que Calmarme,179593,False,50,2,1,4,0.103,0.793,0.433,1.52e-05,0.14,-6.81,0.0418,0.551,119.969,DailyMix2
Nunca Estoy,C. Tangana,Nunca Estoy,162222,False,74,2,1,4,0.474,0.917,0.377,0.00367,0.298,-5.132,0.161,0.398,134.994,DailyMix2
Septiembre,LUNA KI,"Unknown, 2034",125200,True,51,6,1,4,0.0099,0.682,0.892,0,0.197,-5.94,0.0316,0.572,115.992,DailyMix2
Luzbel,Arce,Luciffer,245723,True,56,11,1,4,0.419,0.73,0.624,0,0.111,-7.678,0.261,0.826,95.07,DailyMix2
London,"Juancho Marqués,Natos y Waor,InnerCut",London,192500,False,50,1,0,4,0.265,0.486,0.618,5.72e-06,0.0984,-10.593,0.379,0.105,91.732,DailyMix2
La Placita,"Delaossa,Easy-S,J.Moods",La Placita,228292,False,63,4,0,4,0.774,0.563,0.534,0,0.13,-8.055,0.342,0.659,81.737,DailyMix2
Perdón,Duki,Súper Sangre Joven,218639,True,49,7,1,4,0.246,0.749,0.689,0.000231,0.229,-5.743,0.101,0.632,74.974,DailyMix2
Cicatrices,Natos y Waor,Cicatrices,180000,True,64,8,1,4,0.695,0.718,0.814,0,0.125,-5.467,0.345,0.27,120.04,DailyMix2
SIN MIRAR LAS SEÑALES,Rels B,Happy Birthday Flakko,180000,True,71,0,1,4,0.387,0.754,0.481,0,0.35,-7.91,0.444,0.289,83.907,DailyMix2
Tu Historia y la Mía,"Hens,Only",Tu Historia y la Mía,200440,False,51,8,0,4,0.367,0.696,0.725,0,0.111,-7.358,0.211,0.537,111.968,DailyMix2
Cuenta Conmigo,Cruz Cafuné,Maracucho Bueno Muere Chiquito,212863,True,44,6,0,4,0.155,0.807,0.451,0,0.107,-7.177,0.0416,0.364,120.06,DailyMix2
De Ti Me Olvido,"Love Yi,Recycled J,Naes Beats",De Ti Me Olvido,221922,False,49,6,1,4,0.206,0.704,0.63,0,0.235,-5.793,0.102,0.551,105.99,DailyMix2
Ese cosquilleo,"Ayax y Prok,Blasfem,J Dose",Cara y cruz,206533,True,57,1,1,4,0.504,0.691,0.817,0,0.368,-5.573,0.32,0.421,89.963,DailyMix2
Nictofilia,Hard GZ,Nictofilia,208587,True,31,7,1,4,0.357,0.709,0.715,0,0.0873,-8.757,0.376,0.565,91.024,DailyMix2
Nos Vamos a Comer el Mundo,"Juancho Marqués,La Maravillosa Orquesta del Alcohol",Blue Sundays,246000,True,51,1,0,4,0.708,0.557,0.538,0,0.109,-8.503,0.0984,0.229,89.939,DailyMix2
NO TE IMAGINAS,"Rels B,Morad",NO TE IMAGINAS,167189,True,68,11,0,4,0.378,0.871,0.593,1.07e-05,0.0625,-6.015,0.157,0.823,100.033,DailyMix2
Mami,"Ptazeta,Juacko",Mami,189493,False,76,7,0,4,0.598,0.616,0.649,1.9e-06,0.0788,-6.555,0.464,0.656,189.862,DailyMix2
Acéptalo,"Yung Beef,Pipo Beatz,Javielito,Polimá Westcoast",Acéptalo,209302,True,51,0,1,4,0.516,0.781,0.662,1.13e-05,0.0758,-8.376,0.38,0.656,172.059,DailyMix2
Hasta Que el Vecino Nos Llame,Walls,Hasta Que el Vecino Nos Llame,206511,False,42,0,1,4,0.291,0.605,0.476,0.462,0.622,-9.912,0.0619,0.239,86.008,DailyMix2
Demasiadas Mujeres,C. Tangana,Demasiadas Mujeres,153694,False,81,9,0,4,0.133,0.667,0.459,0.000213,0.0955,-7.237,0.386,0.369,126.096,DailyMix2
Invierno,"Mayo 214,Miranda,Fulston",Invierno,229125,True,50,7,1,4,0.823,0.544,0.566,0,0.111,-10.815,0.104,0.177,109.267,DailyMix2
Cuando Quieras,Rels B,Cuando Quieras,157346,True,71,10,0,4,0.245,0.627,0.511,0,0.0875,-9.281,0.49,0.596,96.994,DailyMix2
Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),"C. Tangana,Niño de Elche,La Húngara",Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),198499,False,87,4,0,4,0.31,0.812,0.747,0.00412,0.1,-4.611,0.15,0.488,168.025,DailyMix2
Ibiza,"Juancho Marqués,Recycled J,InnerCut",Ibiza,200210,False,56,1,1,4,0.18,0.799,0.61,0,0.104,-6.289,0.346,0.642,95.02,DailyMix2
Soy un Capullo,Go Roneo,Soy un Capullo,155382,False,45,4,0,4,0.138,0.571,0.822,0,0.315,-4.65,0.125,0.197,169.901,DailyMix2
OTRO CHEKE,"Rels B,Duki,The Rudeboyz",Happy Birthday Flakko,180800,True,58,2,1,4,0.199,0.849,0.521,1.28e-06,0.108,-7.087,0.236,0.623,150.017,DailyMix2
Ya No Te Hago Falta,Sen Senra,Ya No Te Hago Falta,161599,False,35,9,1,4,0.934,0.56,0.311,6.02e-05,0.0706,-8.508,0.038,0.452,180.05,DailyMix2
Miénteme,"Cruz Cafuné,Hathi",Miénteme,166996,True,46,3,0,5,0.261,0.886,0.382,0,0.109,-8.493,0.418,0.326,130.59,DailyMix2
Gloria,"Natos y Waor,Arce",Gloria,179482,False,48,11,1,4,0.144,0.491,0.531,0,0.111,-8.029,0.268,0.528,173.824,DailyMix2
Veneno,"Delaossa,KIDDO,J.Moods",La Tour Liffee,258586,False,66,6,1,4,0.612,0.686,0.721,0,0.0905,-4.476,0.17,0.713,92.036,DailyMix2
Reproches,Ayax y Prok,Reproches,273548,False,62,4,1,4,0.432,0.641,0.907,0,0.278,-6.938,0.356,0.382,92.881,DailyMix2
Dime Cuánto,"Hard GZ,Lupita's Friends,Delaossa",Dime Cuánto,268236,False,54,2,0,4,0.683,0.652,0.632,0,0.122,-9.988,0.46,0.437,88.453,DailyMix2
Dramambo 2,"Mango,Fresquito",Ola de Calor,165172,False,40,5,1,4,0.846,0.732,0.501,0,0.0656,-9.307,0.0441,0.335,124.963,DailyMix2
Maradona,"WE$T DUBAI,Bles,CLUB HATS",Maradona,132897,False,40,0,0,4,0.0219,0.87,0.521,0,0.0854,-8.742,0.372,0.651,129.975,DailyMix2
Mil Pecados,"Juancho Marqués,Gabriel Fernández",Álbum Uno,277200,False,37,1,1,4,0.471,0.522,0.506,7.03e-06,0.114,-8.656,0.0707,0.37,83.634,DailyMix2
Intoxicao,C. Tangana,Ídolo,206693,True,55,0,0,4,0.462,0.737,0.582,0.000126,0.257,-7.967,0.0581,0.29,92.008,DailyMix2
Te Acuerdas Que,"Juancho Marqués,Daniela Garsal,InnerCut",Te Acuerdas Que,196960,False,60,10,1,4,0.0592,0.599,0.503,1.72e-06,0.615,-6.648,0.231,0.3,87.248,DailyMix2
Aleluya (Pt.2),Rels B,Para Llegar Arriba,155166,True,62,10,1,4,0.0789,0.836,0.585,0.000649,0.11,-7.668,0.0841,0.675,151.948,DailyMix2
Jugando,"Recycled J,Don Patricio,Selecta",Jugando,220000,False,43,3,1,4,0.488,0.733,0.683,0.00105,0.0962,-6.01,0.303,0.41,97.065,DailyMix2
Million Dollar Baby,"Cecilio G.,Marvin Cruz",Milion Dollar Baby (Ceegeeotcp),288204,True,52,6,0,4,0.421,0.685,0.635,0.086,0.1,-8.862,0.159,0.0737,94.955,DailyMix2
ORGULLO,Rels B,ORGULLO,186426,True,46,7,1,4,0.206,0.738,0.737,1.78e-06,0.12,-6.652,0.114,0.587,153.938,DailyMix2
Need You,Travis Thompson,RUNAWAYS,211680,True,59,6,1,4,0.0281,0.784,0.608,1.18e-05,0.139,-8.202,0.183,0.422,139.946,DailyMix2
Me Va Bonito,Zetazen,Me Va Bonito,199544,False,60,11,0,4,0.733,0.844,0.339,0,0.097,-10.424,0.153,0.599,81.968,DailyMix2
Ya Pasó,M2H,Ya Pasó,229724,True,55,2,0,4,0.516,0.681,0.556,0,0.105,-6.602,0.212,0.681,90.024,DailyMix2
No Ves Que Es un Sueño?,Don Patricio,La Dura Vida del Joven Rapero,256418,True,43,8,0,4,0.581,0.539,0.304,1.45e-06,0.134,-10.564,0.315,0.178,119.741,DailyMix2
Gira Que Gira,Ters,Gira Que Gira,189010,False,47,7,1,4,0.637,0.819,0.569,0,0.388,-8.118,0.0715,0.3,127.167,DailyMix2
Atrévete,Yago Roche,Atrévete,190000,False,59,11,0,4,0.27,0.871,0.654,0,0.105,-6.593,0.15,0.805,95.945,DailyMix2
Esa Carita Que Me Llevas,"Locoplaya,InnerCut",Esa Carita Que Me Llevas,221837,False,0,3,0,4,0.0383,0.777,0.833,0,0.0563,-4.647,0.0898,0.447,92.505,DailyMix2
