Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
M Conformo,Pol Granch,M Conformo,206864,False,45,7,1,4,0.433,0.685,0.552,0,0.112,-7.348,0.332,0.32,80.016,DailyMix3
Entre Tú y Yo,Chema Rivas,Entre Tú y Yo,224000,False,79,9,0,4,0.288,0.854,0.669,0,0.221,-5.206,0.0617,0.484,120.023,DailyMix3
Cupido,Air Magno,Cupido,155604,False,55,4,1,4,0.93,0.732,0.413,2.03e-05,0.071,-9.269,0.0525,0.541,90.959,DailyMix3
Batmóvil - Remix,"Hens,Pole.,Funzo & Baby Loud",Batmóvil (Remix),210000,False,72,10,1,4,0.0843,0.655,0.839,0,0.164,-6.087,0.0591,0.387,108.047,DailyMix3
Distanciaos,"Aren,ElRoca",Distanciaos,163479,False,36,1,1,4,0.468,0.756,0.485,0,0.344,-11.258,0.0768,0.115,106.848,DailyMix3
Huella (feat. Pitizion),"Arce,Pitizion",Pedigrí,188219,True,49,0,1,4,0.0953,0.771,0.681,0,0.119,-7.336,0.297,0.587,146.116,DailyMix3
Estar Aquí,"Delgao,Hens",Estar Aquí,188919,False,38,9,1,4,0.478,0.749,0.745,0,0.278,-6.431,0.144,0.336,98.027,DailyMix3
Malamanera,fernandocosta,Malamanera,182129,True,59,7,1,4,0.522,0.829,0.589,0,0.12,-6.824,0.255,0.376,91.988,DailyMix3
De Tranquilote,"Danny Romero,Lérica",De Tranquilote,177208,False,64,2,1,4,0.105,0.682,0.669,0,0.071,-7.15,0.0951,0.889,79.929,DailyMix3
Me Noto Distinto,"Mayo 214,Fulston,La Cantera",Me Noto Distinto,195423,True,55,10,0,4,0.323,0.692,0.515,0,0.0832,-9.053,0.0966,0.392,112.921,DailyMix3
Mil Tequilas,Chema Rivas,Mil Tequilas,255450,False,8,1,1,4,0.226,0.698,0.77,0,0.0957,-3.937,0.132,0.288,100.102,DailyMix3
Luna Negra,Beltran,La Memoria del Agua,141065,False,0,0,1,4,0.648,0.794,0.561,9.35e-06,0.0992,-14.524,0.25,0.48,100.035,DailyMix3
2,Al Safir,2,212460,True,44,0,0,4,0.236,0.661,0.71,0,0.102,-7.961,0.406,0.817,183.975,DailyMix3
Chocolatito,Pol Granch,Chocolatito,179593,False,51,2,1,4,0.103,0.793,0.433,1.52e-05,0.14,-6.81,0.0418,0.551,119.969,DailyMix3
Como Estrellas,LA YOUNG,Como Estrellas,219000,False,76,6,1,4,0.765,0.446,0.496,0,0.259,-6.051,0.0857,0.763,170.145,DailyMix3
Oh Keira,Miren,Oh Keira,134374,True,35,1,0,3,0.882,0.572,0.263,0.000189,0.123,-9.056,0.0336,0.289,68.056,DailyMix3
Llámame,"Hens,Only",Llámame,150400,False,38,6,0,4,0.0264,0.675,0.798,0,0.253,-4.662,0.0654,0.515,149.953,DailyMix3
Arráncame la Piel,Pol Granch,Tengo Que Calmarme,179468,False,42,9,0,4,0.684,0.726,0.51,0,0.221,-6.836,0.225,0.57,97.845,DailyMix3
Sin Ti,Air Magno,Sin Ti,221250,False,49,0,0,3,0.85,0.81,0.468,0,0.105,-7.449,0.0374,0.679,109.478,DailyMix3
Sin rumbo,Xenon,Sin rumbo,185346,False,47,8,1,4,0.425,0.762,0.838,0,0.177,-5.372,0.235,0.657,101.051,DailyMix3
