Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Volveré,Marlon,Volveré,219992,False,50,9,1,4,0.00908,0.52,0.616,0,0.0728,-5.024,0.0298,0.272,145.841,DailyMix4
Mariposas,Taburete,Tres Tequilas,300023,False,46,1,1,4,0.923,0.793,0.431,1.44e-06,0.0589,-9.036,0.0279,0.396,99.95,DailyMix4
Ojalá,Beret,Ojalá,220909,False,0,5,1,4,0.661,0.503,0.615,0,0.122,-9.128,0.137,0.318,153.478,DailyMix4
Flamenkito,"Lérica,Belinda",Flamenkito,202153,False,70,0,1,4,0.0877,0.73,0.714,0,0.117,-2.979,0.107,0.924,94.896,DailyMix4
Perdón,"David Bisbal,Greeicy",En Tus Planes,206497,False,53,11,0,4,0.291,0.673,0.855,0,0.124,-4.528,0.0846,0.96,179.984,DailyMix4
Guantanamera,Guitarricadelafuente,Guantanamera,190762,False,55,9,1,4,0.875,0.512,0.263,0,0.11,-10.421,0.0855,0.359,98.6,DailyMix4
Todo Me Da Igual,Pignoise,Año Zero,205026,False,49,6,1,4,0.0286,0.426,0.76,0,0.0712,-5.665,0.0449,0.876,127.904,DailyMix4
Cuando Éramos Dos,"Sinsinati,Álvaro De Luna",Cuando Éramos Dos,205059,False,67,6,0,4,0.135,0.56,0.589,0,0.109,-5.612,0.0419,0.712,100.04,DailyMix4
Aún me amas,Beret,Aún me amas,220000,False,67,5,1,4,0.272,0.478,0.591,0,0.107,-7.278,0.0377,0.466,78.121,DailyMix4
Que Bonita la Vida,Dani Martín,Dani Martin,270653,False,54,7,1,4,0.301,0.506,0.535,5.08e-06,0.1,-5.676,0.0314,0.286,134.075,DailyMix4
Por Besarte,Jorge González,Por Besarte,187498,False,33,7,0,4,0.161,0.732,0.757,0,0.0653,-7.323,0.179,0.782,100.015,DailyMix4
Brindo,Taburete,Brindo,210382,False,55,10,1,3,0.133,0.446,0.67,0,0.19,-4.84,0.0346,0.796,170.042,DailyMix4
Princesas de barrio,Marlon,Cosas que no se pagan con dinero,232853,False,37,5,1,4,0.135,0.656,0.665,0.00012,0.266,-5.887,0.0433,0.583,130.0,DailyMix4
No te pido que vuelvas,Dani Fernández,Incendios,233657,False,44,0,1,3,0.923,0.601,0.26,6.09e-06,0.109,-7.501,0.0481,0.368,85.366,DailyMix4
De Cabeza,Ale Ocaña,De Cabeza,186976,False,15,5,0,4,0.739,0.72,0.408,1.66e-05,0.119,-13.428,0.0767,0.613,86.037,DailyMix4
Somos,Melocos,Somos,218973,False,37,7,1,4,0.134,0.56,0.622,0,0.11,-3.554,0.027,0.306,72.478,DailyMix4
Frío Corazón,Modo Avión,Frío Corazón,202418,False,39,6,0,4,0.342,0.709,0.403,0,0.0857,-11.944,0.0514,0.318,116.976,DailyMix4
Sube a mi cohete,Pignoise,Sube a mi cohete,194146,False,43,8,1,4,0.0225,0.391,0.854,0,0.227,-2.422,0.0374,0.601,181.984,DailyMix4
Indios y Vaqueros,"Sinsinati,Álvaro De Luna",Indios y Vaqueros,184000,False,66,8,1,4,0.0607,0.606,0.797,0,0.366,-6.23,0.0702,0.851,100.015,DailyMix4
96,Marlon,96,189148,False,48,1,0,4,0.00155,0.604,0.923,0,0.243,-4.669,0.0401,0.936,97.069,DailyMix4
Cada Día de Verano,Ciao Marina,Cada Día de Verano,183837,False,36,7,1,4,0.528,0.688,0.541,0,0.874,-5.291,0.0426,0.691,129.982,DailyMix4
Amos del Piano Bar,Taburete,Tres Tequilas,172035,False,53,0,1,4,0.805,0.459,0.446,0,0.163,-10.421,0.0313,0.312,117.773,DailyMix4
Me vas a ver,Beret,Me vas a ver,135739,False,61,3,1,4,0.867,0.536,0.287,0,0.101,-8.553,0.103,0.701,78.243,DailyMix4
Desde las Alturas,Guitarricadelafuente,Desde las Alturas,223705,False,58,2,0,4,0.833,0.559,0.219,6.16e-06,0.0981,-10.447,0.0344,0.221,99.195,DailyMix4
Poses,"Sergio Contreras,DAVID SOTO,J Marrufo",Poses,190105,False,42,0,0,4,0.0305,0.749,0.711,0.00225,0.307,-2.191,0.0589,0.462,95.002,DailyMix4
5 de la Tarde,Sunvalley,5 de la Tarde,217636,False,51,1,1,4,0.664,0.604,0.411,3.83e-05,0.0357,-15.157,0.0993,0.537,108.136,DailyMix4
Las Calles Ya No Huelen Igual,Ale Ocaña,A Viva Voz,159878,False,9,7,1,4,0.642,0.538,0.574,2.05e-05,0.128,-11.177,0.0817,0.77,95.194,DailyMix4
Me llama,Beret,Me llama,211180,False,56,1,1,4,0.175,0.682,0.55,0,0.116,-5.91,0.105,0.271,90.727,DailyMix4
Me supo a poco,Marlon,Cosas que no se pagan con dinero,211185,False,49,10,1,4,0.0718,0.594,0.654,0,0.284,-5.068,0.0462,0.691,90.026,DailyMix4
Un Sitio Aparte,Pol Granch,Pol Granch,202054,False,44,5,0,4,0.59,0.458,0.604,0,0.11,-7.631,0.0386,0.254,89.073,DailyMix4
Tiburones - Remix,"Ricky Martin,Farruko",Tiburones (Remix),209373,False,65,0,1,4,0.0814,0.755,0.835,0,0.116,-2.474,0.172,0.582,96.037,DailyMix4
