Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Laugh Now Cry Later (feat. Lil Durk),"Drake,Lil Durk",Laugh Now Cry Later (feat. Lil Durk),261492,True,92,0,1,4,0.244,0.761,0.518,3.47e-05,0.107,-8.871,0.134,0.522,133.976,DailyMix5
Envy Me,Calboy,Wildboy,120133,True,75,1,0,4,0.234,0.74,0.488,0,0.241,-7.664,0.27,0.584,149.042,DailyMix5
Can’t Feel Shit,BIGBABYGUCCI,Dead After Teen Spirit,162426,True,52,1,1,4,0.0682,0.887,0.419,1.07e-06,0.0722,-8.179,0.128,0.616,130.016,DailyMix5
Wanted You (feat. Lil Uzi Vert),"NAV,Lil Uzi Vert",Wanted You (feat. Lil Uzi Vert),228080,True,60,9,0,4,0.207,0.795,0.728,0,0.237,-4.712,0.0544,0.582,146.979,DailyMix5
MIDDLE CHILD,J. Cole,MIDDLE CHILD,213593,True,82,8,1,4,0.149,0.837,0.364,0,0.271,-11.713,0.276,0.463,123.984,DailyMix5
Homicide (feat. Eminem),"Logic,Eminem",Confessions of a Dangerous Mind,245386,True,74,10,0,4,0.137,0.694,0.759,0,0.167,-5.667,0.398,0.77,140.055,DailyMix5
Murder On My Mind,YNW Melly,I AM YOU,268434,True,81,0,0,4,0.145,0.759,0.73,3.06e-06,0.11,-7.985,0.0516,0.74,115.007,DailyMix5
BEST ON EARTH (feat. BIA) - Bonus,"Russ,BIA",BEST ON EARTH (feat. BIA) [Bonus],160720,True,6,5,0,4,0.217,0.568,0.764,0,0.0931,-3.465,0.255,0.625,179.985,DailyMix5
Ransom,Lil Tecca,We Love You Tecca,131240,True,83,7,0,4,0.0204,0.745,0.642,0,0.0658,-6.257,0.287,0.226,179.974,DailyMix5
Bandit (with YoungBoy Never Broke Again),"Juice WRLD,YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),189322,True,83,5,0,4,0.0687,0.474,0.631,0,0.132,-5.884,0.343,0.425,180.051,DailyMix5
Hot (feat. Gunna),"Young Thug,Gunna",So Much Fun,193026,True,75,0,0,4,0.063,0.855,0.651,0,0.0772,-8.044,0.235,0.559,111.997,DailyMix5
Taste (feat. Offset),"Tyga,Offset",Taste (feat. Offset),232959,True,78,0,1,4,0.0236,0.884,0.559,0,0.101,-7.442,0.12,0.342,97.994,DailyMix5
Mood (feat. iann dior),"24kGoldn,iann dior",Mood (feat. iann dior),140525,True,98,7,0,4,0.221,0.7,0.722,0,0.272,-3.558,0.0369,0.756,90.989,DailyMix5
Go Crazy,"Chris Brown,Young Thug",Slime & B,176960,True,88,0,0,4,0.316,0.755,0.578,0,0.25,-8.932,0.145,0.581,94.148,DailyMix5
Look Back at It,A Boogie Wit da Hoodie,Hoodie SZN,179449,True,76,3,0,4,0.407,0.791,0.587,0,0.148,-5.075,0.0413,0.536,96.057,DailyMix5
"Me, Myself & I","G-Eazy,Bebe Rexha",When It's Dark Out,251466,True,76,0,0,4,0.0186,0.757,0.672,0,0.158,-6.524,0.0955,0.382,111.996,DailyMix5
