Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Porrito en París,Don Patricio,La Dura Vida del Joven Rapero,299971,True,46,5,0,4,0.242,0.827,0.486,0,0.119,-10.057,0.0368,0.677,116.02,DailyMix6
Romeo y Julieta,Pedro el Flamenkito,Romeo y Julieta,283880,False,38,10,1,4,0.636,0.746,0.865,0.000113,0.373,-6.2,0.155,0.492,99.98,DailyMix6
Jóvenes to Locos,Funzo & Baby Loud,Jóvenes to Locos,161442,False,53,4,1,4,0.558,0.511,0.772,0,0.267,-5.551,0.115,0.612,163.061,DailyMix6
Quédate conmigo,"Pole.,Pilar Moxó",Quédate conmigo,216032,False,0,1,1,4,0.676,0.58,0.715,0,0.244,-4.735,0.0394,0.464,145.917,DailyMix6
Dime Bbsita Remix,"Robledo,Ovy On The Drums,Lalo Ebratt,Omar Montes,Alex Martini",Dime Bbsita Remix,197997,False,64,0,1,4,0.122,0.8,0.73,0,0.548,-2.051,0.0917,0.774,94.932,DailyMix6
Como no te voy a querer,"JdM,Galvan Real,Dr. López",Como no te voy a querer,228223,False,52,8,1,4,0.303,0.747,0.903,5.32e-06,0.313,-4.477,0.0568,0.849,95.013,DailyMix6
Consentia,DELLAFUENTE,Consentia,201351,False,0,6,0,4,0.537,0.737,0.671,0,0.107,-7.755,0.0614,0.313,105.041,DailyMix6
Replay,Maikel Delacalle,Replay,217103,False,54,11,0,4,0.203,0.726,0.8,0.000175,0.107,-5.858,0.0588,0.765,109.984,DailyMix6
Alocao (With Bad Gyal),"Omar Montes,Bad Gyal",Alocao (With Bad Gyal),209320,False,67,11,0,4,0.214,0.673,0.752,1.53e-06,0.106,-4.705,0.0567,0.699,178.005,DailyMix6
Si te preguntan,Pole.,Si te preguntan,146023,False,52,1,1,4,0.014,0.684,0.547,0,0.0866,-8.336,0.0459,0.557,129.938,DailyMix6
El Momento Perfecto,La La Love You,La la Love You,168120,False,39,10,1,4,0.0888,0.441,0.877,4.05e-06,0.0782,-3.847,0.0418,0.636,174.992,DailyMix6
El Final,Juanfran,El Final,159975,False,63,8,1,4,0.312,0.677,0.596,0,0.103,-10.036,0.121,0.306,172.015,DailyMix6
Suave - Remix,"Jey Blessing,Rauw Alejandro,Los Fantastikos",Suave (Remix),203000,False,63,10,1,4,0.557,0.673,0.694,0,0.118,-4.01,0.166,0.78,175.912,DailyMix6
Con Los Míos,"Love Yi,Delarue,Naes Beats",Con Los Míos,185880,False,56,4,0,4,0.587,0.768,0.684,0.00463,0.187,-6.082,0.079,0.408,115.02,DailyMix6
Poca Suerte,Funzo & Baby Loud,Poca Suerte,238461,False,58,8,0,4,0.356,0.737,0.513,0,0.177,-6.978,0.0519,0.271,156.05,DailyMix6
Como vas?,Kidd Keo,BACK TO ROCKPORT,160266,True,61,10,1,4,0.0918,0.886,0.57,0,0.214,-7.841,0.175,0.805,144.017,DailyMix6
Comunicado de prensa,Don Patricio,Comunicado de prensa,183637,False,46,8,1,4,0.789,0.843,0.53,4.39e-05,0.25,-6.304,0.106,0.667,96.027,DailyMix6
Carmela,Sami Duque,Carmela,181890,False,52,0,0,4,0.302,0.675,0.622,1.16e-06,0.176,-6.966,0.251,0.725,180.124,DailyMix6
Malibú con Piña,Funzo & Baby Loud,Malibú con Piña,167999,False,61,11,0,4,0.359,0.642,0.705,0,0.16,-6.514,0.0409,0.681,96.411,DailyMix6
Casa de Papel,El Jhota,Casa de Papel,218571,False,48,5,0,4,0.146,0.813,0.915,0,0.0664,-3.876,0.385,0.66,112.02,DailyMix6
Apriétala,"Rvfv,Pablo Mas",Apriétala,145043,True,51,8,1,4,0.181,0.897,0.683,0.000503,0.0483,-6.172,0.056,0.68,124.96,DailyMix6
