Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
U Went 2 Far,"Luca Lozano,Mr. Ho",Visions of Rhythm 2 EP,362804,False,2,10,0,4,0.00275,0.796,0.78,0.89,0.0763,-14.818,0.0746,0.43,125.015,Disco
Different Circles,"Luca Lozano,Mr. Ho",Dobb Meep / Different Circles,419013,False,27,11,0,4,0.115,0.807,0.642,0.78,0.111,-8.609,0.151,0.453,119.984,Disco
Dripbox,"Luca Lozano,Mr. Ho",Dripbox,363518,False,3,7,1,4,0.0756,0.784,0.727,0.885,0.0784,-8.169,0.0463,0.476,123.004,Disco
Bear Samurai,"Luca Lozano,Mr. Ho",Dripbox,368441,False,1,1,1,4,0.161,0.794,0.888,0.898,0.0466,-9.303,0.0688,0.637,126.042,Disco
Hot Trak,"Luca Lozano,Mr. Ho",Dripbox,308285,False,2,8,1,4,6.42e-05,0.755,0.785,0.819,0.285,-11.734,0.0423,0.146,119.991,Disco
Autonomika,"Luca Lozano,Mr. Ho",Dripbox,294299,False,1,10,0,4,0.00287,0.787,0.813,0.939,0.104,-10.616,0.0705,0.397,123.901,Disco
Kush Groove,"Luca Lozano,Mr. Ho",Visions of Rhythm EP,380704,False,2,10,0,4,0.000143,0.806,0.835,0.918,0.106,-8.27,0.0513,0.446,119.007,Disco
Visions of Rhythm,"Luca Lozano,Mr. Ho",Visions of Rhythm EP,308221,False,2,1,0,4,0.000203,0.807,0.577,0.478,0.0701,-5.812,0.0483,0.545,127.995,Disco
2 Wangs in a Room,"Luca Lozano,Mr. Ho",Visions of Rhythm EP,354663,False,3,7,1,4,0.0221,0.736,0.914,0.855,0.151,-6.7,0.0556,0.472,119.977,Disco
The Hunt,"Mr. Ho,Florian Blauensteiner",The Hunt EP,286739,False,1,1,1,4,0.000687,0.8,0.718,0.945,0.171,-12.018,0.0917,0.25,124.031,Disco
Ammunition,"Mr. Ho,Florian Blauensteiner",The Hunt EP,295233,False,2,11,0,4,0.0105,0.8,0.936,0.876,0.104,-9.225,0.0408,0.884,123.997,Disco
The Hunt - SW Amnesia Mix,"Mr. Ho,Florian Blauensteiner,SW",The Hunt EP,577225,False,1,11,0,4,0.00648,0.632,0.771,0.891,0.123,-11.808,0.0388,0.572,130.024,Disco
A Gathering of Old Friends,Mr. Ho,Tales from Bao' An County EP,316707,False,4,6,1,4,0.00306,0.561,0.649,0.855,0.15,-9.87,0.0419,0.52,114.991,Disco
000 Baby,Mr. Ho,Homeboys,396534,False,20,11,0,4,1.5e-05,0.678,0.736,0.881,0.211,-8.067,0.0396,0.126,109.019,Disco
Contam1n8,Mr. Ho,Homeboys,292159,False,8,1,1,4,0.00236,0.694,0.829,0.903,0.079,-7.724,0.0676,0.833,193.994,Disco
I-SOL-8,Luca Lozano,Homeboys,341674,False,7,7,1,5,0.000179,0.459,0.891,0.916,0.114,-8.274,0.071,0.178,81.993,Disco
GagSteel,Mr. Ho,Homeboys,307988,False,8,0,1,4,9.28e-05,0.678,0.998,0.911,0.071,-7.581,0.0506,0.769,138.001,Disco
