Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Losing It,FISHER,Losing It,248035,False,76,2,1,4,0.00181,0.76,0.964,0.703,0.0975,-5.844,0.0577,0.643,125.003,EDM(TLob)
Stay (Don't Go Away) [feat. Raye],"David Guetta,RAYE",Stay (Don't Go Away) [feat. Raye],185942,False,65,9,0,4,0.259,0.669,0.797,0,0.199,-5.68,0.0624,0.552,119.865,EDM(TLob)
Tokyo Drift,KVSH,Tokyo Drift,222857,False,71,10,1,4,0.053,0.844,0.767,1.53e-05,0.166,-4.851,0.0461,0.342,125.989,EDM(TLob)
No Regrets (feat. Krewella),"KSHMR,Yves V,Krewella",No Regrets (feat. Krewella),184000,False,60,10,0,4,0.0618,0.33,0.793,0,0.383,-4.628,0.155,0.279,180.162,EDM(TLob)
All Around The World (La La La),"R3HAB,A Touch Of Class",All Around The World (La La La),147840,False,77,9,0,4,0.479,0.733,0.859,0.0645,0.105,-5.03,0.033,0.52,124.948,EDM(TLob)
WOW,Tiësto,WOW,148125,False,64,6,1,4,0.00116,0.6,0.99,0.52,0.124,-3.016,0.337,0.192,127.954,EDM(TLob)
U Got That,Halogen,U Got That,187762,False,0,0,1,4,0.0259,0.533,0.884,0.57,0.107,-6.15,0.144,0.202,123.87,EDM(TLob)
Flip The Beat,"Bassjackers,APEK",Flip The Beat,168750,False,39,5,0,4,0.00425,0.688,0.902,0.184,0.902,-5.054,0.243,0.0646,127.943,EDM(TLob)
I'm Not Sorry,"Hardwell,Mike Williams",I'm Not Sorry,186093,True,40,4,1,4,0.121,0.649,0.82,0,0.0771,-3.812,0.0558,0.349,128.096,EDM(TLob)
Out Of My Mind - R3HAB Edit,"Skytech,R3HAB",Out Of My Mind (R3HAB Edit),174285,False,28,0,0,4,0.0721,0.595,0.659,0,0.23,-4.472,0.0607,0.338,126.026,EDM(TLob)
MEGALOVANIA,Toby Fox,UNDERTALE Soundtrack,156000,False,46,7,1,4,0.000377,0.715,0.612,0.864,0.0387,-9.85,0.0515,0.95,120.022,EDM(TLob)
Bella Ciao - Mix Cut,"Hardwell,Maddix",Hardwell presents Revealed Vol. 9,200307,False,39,4,0,4,0.00216,0.614,0.9,0.000556,0.376,-4.682,0.0492,0.201,129.956,EDM(TLob)
Xenogenesis,TheFatRat,Xenogenesis,233379,False,28,10,0,4,0.0313,0.544,0.608,0.736,0.0912,-8.058,0.0287,0.0876,145.055,EDM(TLob)
Repeat After Me,"Dimitri Vegas & Like Mike,Armin van Buuren,W&W",Repeat After Me,194260,False,27,6,0,4,0.00342,0.321,0.939,0.81,0.0905,-4.86,0.0616,0.179,131.933,EDM(TLob)
Better When You're Gone,"David Guetta,Brooks,Loote",Better When You're Gone,192402,False,70,1,0,4,0.0635,0.647,0.795,0,0.188,-3.548,0.0372,0.409,127.992,EDM(TLob)
In My Mind,"Dynoro,Gigi D'Agostino",In My Mind,184560,False,81,6,1,4,0.176,0.694,0.77,1.1e-05,0.118,-5.335,0.149,0.163,125.905,EDM(TLob)
Brass 2.0,Dirty Rush & Gregor Es,Brass 2.0,181475,False,0,1,1,4,0.0474,0.65,0.938,0.0104,0.365,-2.93,0.0635,0.365,124.958,EDM(TLob)
Glitch,"Martin Garrix,Julian Jordan",Glitch,185161,False,50,2,0,4,0.055,0.715,0.792,0.0236,0.269,-6.4,0.0325,0.357,128.024,EDM(TLob)
Without You (feat. Sandro Cavazza),"Avicii,Sandro Cavazza",AVĪCI (01),181672,True,4,2,1,4,0.00179,0.652,0.855,0,0.0404,-4.832,0.0441,0.279,134.009,EDM(TLob)
Shuttin It Down,"Maddix,Kris Kiss",Hardwell On Air - Best of October 2018,164062,False,10,2,1,4,0.00897,0.589,0.958,0,0.667,-4.625,0.133,0.216,128.001,EDM(TLob)
Fuego,"R3HAB,Skytech",Fuego,136406,False,57,5,0,4,0.0998,0.639,0.748,0.000864,0.407,-6.918,0.133,0.538,128.056,EDM(TLob)
"Kernkraft 400 - DJ Gius Mix, Radio Edit",Zombie Nation,Kernkraft 400 Single Mixes,207266,False,62,6,1,4,0.00415,0.714,0.528,0.854,0.0819,-8.789,0.0692,0.297,139.983,EDM(TLob)
Magic,KSHMR,Magic,149414,False,48,5,1,4,0.0905,0.601,0.939,0.000611,0.53,-3.191,0.115,0.336,127.875,EDM(TLob)
Mayhem,"Steve Aoki,Quintino",Mayhem,157031,False,0,8,1,4,0.00016,0.605,0.964,0.611,0.858,-4.713,0.033,0.078,127.93,EDM(TLob)
Out Of This Town,"Hardwell,VINAI,Cam Meekins",Out Of This Town,195200,False,61,5,0,4,0.00871,0.553,0.902,0.000171,0.355,-3.444,0.0703,0.633,149.987,EDM(TLob)
This Is Love,"Hardwell,KAAZE,Loren Allred",This Is Love,191241,False,51,3,0,4,0.0151,0.543,0.867,0.00021,0.2,-4.394,0.056,0.316,128.017,EDM(TLob)
Unity,"Dimitri Vegas & Like Mike,Hardwell",Tomorrowland 2018 EP,234461,False,35,10,0,4,0.0241,0.65,0.912,0.8,0.293,-4.588,0.0406,0.191,129.999,EDM(TLob)
Neverland,"KSHMR,7 Skies",Neverland,189524,False,59,8,0,4,0.00301,0.312,0.937,0.182,0.288,-3.994,0.0504,0.257,137.993,EDM(TLob)
Opa,"Dimitri Vegas & Like Mike,KSHMR",Tomorrowland 2018 EP,206250,False,34,6,0,4,0.00988,0.455,0.953,0.329,0.247,-3.784,0.0895,0.243,127.284,EDM(TLob)
Tutankhamun,Qulinez,Hardwell On Air - Best Of June 2018,169846,False,13,9,1,4,0.00192,0.545,0.93,0.00217,0.385,-4.772,0.0855,0.285,129.979,EDM(TLob)
Bigroom Never Dies,"Hardwell,Blasterjaxx,Mitch Crown",Bigroom Never Dies,175846,False,52,8,1,4,0.000732,0.715,0.948,0.0206,0.315,-4.887,0.0532,0.165,129.969,EDM(TLob)
Starflight,"R3HAB,Skytech",Starflight,154442,False,44,7,0,4,0.0482,0.621,0.685,0.87,0.559,-4.787,0.0565,0.398,129.951,EDM(TLob)
Make It Bun Dem,"Skrillex,Damian Marley",Make It Bun Dem After Hours EP,213696,False,63,7,1,1,0.00119,0.556,0.881,0,0.0709,-2.224,0.082,0.337,104.973,EDM(TLob)
Narco,"Blasterjaxx,Timmy Trumpet",Narco,208634,False,0,8,1,4,0.00784,0.764,0.943,0.104,0.0699,-4.047,0.0711,0.207,129.961,EDM(TLob)
Ain't That Why - Skytech Remix,"R3HAB,Krewella,Skytech",Ain't That Why (Skytech Remix),162400,False,49,6,0,4,0.0525,0.354,0.854,0,0.331,-4.587,0.294,0.407,74.994,EDM(TLob)
Remember Who You Are,Firebeatz,Remember Who You Are,162461,False,37,5,1,4,0.0233,0.644,0.626,2.76e-05,0.0448,-6.527,0.0323,0.292,129.861,EDM(TLob)
Lightning Strikes,"Steve Aoki,NERVO,Tony Junior",Neon Future Odyssey,238128,False,23,5,0,4,0.0277,0.619,0.979,0.06,0.296,-6.194,0.108,0.13,130.009,EDM(TLob)
Hysteria (feat. Matthew Koma),"Steve Aoki,Matthew Koma",Neon Future Odyssey,266234,False,20,11,0,4,0.00315,0.565,0.694,0.00334,0.0738,-6.399,0.0717,0.448,128.022,EDM(TLob)
Delirious (Boneless) (feat. Kid Ink),"Steve Aoki,Chris Lake,Tujamo,Kid Ink",Neon Future Odyssey,223600,False,29,1,1,4,0.0147,0.701,0.907,0,0.167,-4.437,0.0548,0.914,127.985,EDM(TLob)
"$4,000,000 (feat. Ma$e & Big Gigantic) (feat. Ma$e & Big Gigantic) - Oliver Heldens Remix","Steve Aoki,Bad Royale,Oliver Heldens,Ma$e,Big Gigantic","$4,000,000 (feat. Ma$e & Big Gigantic) (feat. Ma$e & Big Gigantic) [Oliver Heldens Remix]",212363,True,35,1,1,4,0.000473,0.773,0.876,0.000375,0.0629,-4.806,0.0453,0.481,124.015,EDM(TLob)
What You Do,"R3HAB,Skytech",What You Do,159462,False,41,0,0,4,0.0757,0.64,0.896,0.000149,0.346,-3.476,0.0778,0.213,127.858,EDM(TLob)
Not for Nothing,Otis McDonald,"Innovations in Booty Shaking Music, Vol. 2",118256,False,41,8,1,4,0.723,0.881,0.54,0.231,0.0976,-9.103,0.478,0.639,86.718,EDM(TLob)
