Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Soldadito marinero,Fito y Fitipaldis,Lo mas lejos a tu lado,254373,False,66,2,1,4,0.132,0.718,0.431,0.000165,0.0686,-8.736,0.0314,0.324,139.618,Espanoladas(TLob)
Carolina - En directo 2000,M-Clan,Sin Enchufe,263679,False,61,7,1,4,0.146,0.649,0.9,0,0.694,-4.135,0.0306,0.86,123.978,Espanoladas(TLob)
Zapatillas,El Canto Del Loco,Zapatillas,172640,False,61,8,0,4,0.0281,0.428,0.956,0,0.58,-2.382,0.178,0.686,198.076,Espanoladas(TLob)
La flaca,Jarabe De Palo,La Flaca,261200,False,72,7,1,4,0.52,0.871,0.481,5.54e-05,0.0809,-9.068,0.0383,0.664,103.063,Espanoladas(TLob)
Terriblemente Cruel,Leiva,Polvora,227600,False,58,0,1,4,0.0281,0.549,0.831,0,0.0842,-4.17,0.0304,0.615,125.594,Espanoladas(TLob)
Feo Fuerte y Formal,Loquillo Y Los Trogloditas,"Feo, Fuerte y Formal",242266,False,0,5,0,4,0.0454,0.716,0.879,0,0.243,-6.179,0.0349,0.905,126.368,Espanoladas(TLob)
Princesas,Pereza,Animales,217000,False,64,7,1,4,0.0634,0.683,0.846,0,0.346,-3.551,0.0422,0.706,131.884,Espanoladas(TLob)
La casa por el tejado,Fito y Fitipaldis,Lo mas lejos a tu lado,267760,False,61,7,0,4,0.323,0.734,0.852,2.27e-05,0.421,-5.632,0.0483,0.89,149.976,Espanoladas(TLob)
Antes de que cuente diez,Fito y Fitipaldis,Antes de que cuente diez,285040,False,60,6,0,4,0.0835,0.521,0.852,0,0.365,-5.014,0.0624,0.523,151.012,Espanoladas(TLob)
La vereda de la puerta de atrás,Extremoduro,"Yo, Minoria Absoluta",243320,False,62,9,0,4,0.437,0.403,0.893,0.000173,0.11,-2.735,0.0474,0.527,141.194,Espanoladas(TLob)
Si te vas...,Extremoduro,Material defectuoso,516666,False,60,5,1,3,0.623,0.569,0.491,0.0215,0.111,-8.53,0.0451,0.204,133.427,Espanoladas(TLob)
Stand By,Extremoduro,"Yo, Minoria Absoluta",207986,False,54,7,1,4,0.279,0.466,0.629,0.436,0.141,-4.684,0.0421,0.396,132.663,Espanoladas(TLob)
Puta,Extremoduro,"Yo, Minoria Absoluta",322880,False,53,9,0,4,0.0274,0.277,0.958,0.801,0.11,-2.639,0.139,0.308,189.741,Espanoladas(TLob)
Jesucristo García - Versión 2004,Extremoduro,Grandes exitos y fracasos (Episodio 1º),276426,False,37,11,0,4,0.128,0.642,0.677,0.00414,0.108,-5.488,0.0334,0.472,88.041,Espanoladas(TLob)
Marihuana,Porretas,12 Botellines Y 5 Tercios,224573,False,39,2,1,4,0.0183,0.474,0.886,0.00194,0.325,-6.795,0.0381,0.925,171.827,Espanoladas(TLob)
Peter Pan,El Canto Del Loco,Personas,259720,False,58,4,1,4,0.29,0.568,0.832,0,0.204,-3.358,0.0333,0.48,92.452,Espanoladas(TLob)
Besos,El Canto Del Loco,Zapatillas,145826,False,61,10,1,4,0.00679,0.576,0.909,4.42e-06,0.134,-3.306,0.0523,0.544,104.971,Espanoladas(TLob)
La Madre de Jose,El Canto Del Loco,Estados de Animo,191346,False,57,1,1,4,0.293,0.629,0.937,0,0.0744,-2.84,0.115,0.946,101.022,Espanoladas(TLob)
Bonito,Jarabe De Palo,Bonito,254053,False,1,6,0,4,0.211,0.743,0.965,0,0.449,-4.83,0.0536,0.741,114.23,Espanoladas(TLob)
El Vals del Obrero,Ska-P,El Vals Del Obrero,277933,False,58,5,1,4,0.0418,0.505,0.835,1.12e-06,0.171,-5.524,0.0685,0.674,102.097,Espanoladas(TLob)
Cannabis,Ska-P,El Vals Del Obrero,265426,False,56,7,1,4,0.176,0.563,0.913,8.24e-06,0.107,-2.741,0.0543,0.952,120.884,Espanoladas(TLob)
Por la Raja de Tu Falda,Estopa,Estopa,202826,False,60,9,0,4,0.323,0.759,0.722,0,0.719,-9.906,0.0765,0.928,97.518,Espanoladas(TLob)
El Run Run,"Estopa,Rosario",X Anniversarivm,205333,False,57,0,0,4,0.665,0.703,0.817,2.47e-05,0.287,-5.392,0.0378,0.813,129.946,Espanoladas(TLob)
Todo,Pereza,Animales,260733,False,55,0,1,4,0.154,0.579,0.741,0,0.179,-4.091,0.0455,0.538,168.02,Espanoladas(TLob)
