Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,292093,True,78,0,0,4,0.0161,0.542,0.914,0,0.744,-4.747,0.113,0.576,153.993,GoldSchool
Roman's Revenge,"Nicki Minaj,Eminem",Pink Friday (Deluxe),276173,True,49,10,1,4,0.518,0.802,0.947,0,0.346,-2.868,0.311,0.444,112.416,GoldSchool
No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame,Roscoe Dash,Wale",Flockaveli,263773,True,75,1,1,4,0.00544,0.76,0.595,0,0.241,-6.366,0.0391,0.361,131.497,GoldSchool
Run This Town,"JAY-Z,Rihanna,Kanye West",The Blueprint 3,267520,True,72,1,1,4,0.281,0.632,0.924,0,0.263,-1.802,0.29,0.441,86.844,GoldSchool
Black and Yellow,Wiz Khalifa,Rolling Papers,217666,True,75,2,0,4,0.0646,0.684,0.834,0,0.271,-4.524,0.0675,0.538,164.02,GoldSchool
All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,299613,True,75,1,1,4,0.0796,0.531,0.803,1.71e-05,0.176,-3.284,0.0717,0.221,142.113,GoldSchool
Moment 4 Life,"Nicki Minaj,Drake",Pink Friday (Deluxe),279306,True,60,11,1,4,0.406,0.68,0.882,0,0.241,-3.883,0.236,0.386,97.943,GoldSchool
"Beamer, Benz, Or Bentley","Lloyd Banks,Juelz Santana",H.F.M. 2 (Hunger For More 2),208386,True,57,4,0,4,0.00402,0.652,0.671,2.89e-05,0.598,-5.376,0.315,0.518,159.963,GoldSchool
Runaway,"Kanye West,Pusha T",My Beautiful Dark Twisted Fantasy,547733,True,73,1,0,4,0.219,0.374,0.568,0.00219,0.513,-3.825,0.109,0.111,84.733,GoldSchool
Your Love,Nicki Minaj,Pink Friday (Deluxe),245253,True,53,11,1,4,0.00204,0.424,0.52,0.00413,0.411,-10.231,0.343,0.184,189.629,GoldSchool
Over,Drake,Thank Me Later,233560,True,64,7,1,5,0.0107,0.35,0.845,0,0.123,-5.614,0.2,0.45,99.643,GoldSchool
Not Afraid,Eminem,Recovery,248133,True,78,0,0,5,0.529,0.855,0.954,0,0.205,-1.19,0.264,0.668,114.635,GoldSchool
Ice Cream Paint Job,Dorrough Music,Dorrough Music,237320,True,60,0,1,4,0.000595,0.851,0.598,0,0.343,-8.356,0.439,0.654,180.046,GoldSchool
This Is Why I'm Hot,MiMS,Music Is My Savior,253706,True,59,8,1,4,0.277,0.621,0.6,0,0.495,-6.349,0.576,0.485,80.021,GoldSchool
Hard in Da Paint,Waka Flocka Flame,Flockaveli,246386,True,64,11,1,4,0.198,0.611,0.66,0,0.365,-5.883,0.0839,0.583,71.544,GoldSchool
Right Above It,"Lil Wayne,Drake",I Am Not A Human Being,271946,True,68,3,0,4,0.0435,0.376,0.841,0,0.578,-4.348,0.356,0.463,76.052,GoldSchool
Pretty Boy Swag,Soulja Boy,The DeAndre Way,236093,True,64,8,1,4,0.177,0.837,0.42,0,0.356,-5.158,0.0629,0.143,123.157,GoldSchool
Put On,"Jeezy,Kanye West",The Recession,321293,True,70,9,0,4,0.00342,0.654,0.77,0,0.0887,-6.091,0.0353,0.272,137.616,GoldSchool
My Chick Bad,"Ludacris,Nicki Minaj",Battle Of The Sexes (Deluxe),216933,True,66,1,1,4,0.172,0.624,0.723,0,0.483,-6.782,0.378,0.757,84.789,GoldSchool
Live Your Life,"T.I.,Rihanna",Paper Trail,338853,True,74,11,0,4,0.071,0.375,0.862,0,0.211,-3.363,0.255,0.478,159.841,GoldSchool
They Know (Dey Know),Shawty Lo,They Know [Dey Know],198093,True,52,8,1,3,0.0895,0.428,0.714,0,0.766,-5.574,0.399,0.678,110.017,GoldSchool
