Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Gary's Theme - 2003 Remastered Version,Bill Evans,You Must Believe In Spring,257693,False,0,7,1,3,0.905,0.42,0.0802,0.857,0.135,-21.795,0.04,0.0541,122.041,JazzAndCigarettes
Blue In Green (Take 3),"Bill Evans,Scott LaFaro,Paul Motian",Portrait In Jazz [Keepnews Collection],325786,False,0,2,0,4,0.977,0.452,0.109,0.879,0.088,-19.965,0.0471,0.139,126.29,JazzAndCigarettes
Young And Foolish,Bill Evans,Everybody Digs Bill Evans,354666,False,0,9,1,4,0.973,0.438,0.0172,0.557,0.0815,-23.66,0.0384,0.136,101.01,JazzAndCigarettes
I Hear A Rhapsody,"Bill Evans,Jim Hall",Undercurrent,280026,False,50,0,0,3,0.995,0.384,0.036,0.94,0.13,-25.958,0.0449,0.116,172.997,JazzAndCigarettes
My Foolish Heart,Bill Evans,Piano Jazz,288626,False,0,6,0,3,0.99,0.384,0.0452,0.93,0.677,-24.145,0.0605,0.0642,175.088,JazzAndCigarettes
Skating In Central Park,"Bill Evans,Jim Hall",Undercurrent,324200,False,63,0,1,3,0.993,0.478,0.0294,0.948,0.105,-25.319,0.0453,0.148,124.308,JazzAndCigarettes
B Minor Waltz (For Ellaine) - 2003 Remastered Version,Bill Evans,You Must Believe In Spring,194413,False,0,11,0,3,0.913,0.364,0.135,0.929,0.119,-20.551,0.0493,0.0684,87.686,JazzAndCigarettes
My Funny Valentine,"Bill Evans,Jim Hall",Undercurrent,324133,False,43,0,0,4,0.992,0.529,0.133,0.922,0.11,-21.195,0.0575,0.585,115.924,JazzAndCigarettes
You Must Believe in Spring - 2003 Remastered Version,Bill Evans,You Must Believe In Spring,340106,False,0,2,1,4,0.943,0.393,0.26,0.831,0.149,-16.419,0.0357,0.223,92.961,JazzAndCigarettes
The Two Lonely People,Bill Evans,The Bill Evans Album,370200,False,36,6,1,4,0.935,0.326,0.341,0.916,0.114,-17.289,0.0367,0.141,77.739,JazzAndCigarettes
Dream Gypsy,"Bill Evans,Jim Hall",Undercurrent,274906,False,47,2,0,3,0.995,0.421,0.0273,0.948,0.0936,-27.402,0.0447,0.177,127.412,JazzAndCigarettes
We Will Meet Again (For Harry) - Remastered Version,Bill Evans,You Must Believe In Spring,244786,False,0,0,0,3,0.924,0.442,0.2,0.896,0.257,-18.981,0.0396,0.228,78.834,JazzAndCigarettes
What Are You Doing The Rest Of Your Life?,Bill Evans,From Left To Right,245000,False,0,9,0,4,0.993,0.331,0.144,0.914,0.104,-16.773,0.0324,0.0394,64.601,JazzAndCigarettes
Romain,"Bill Evans,Jim Hall",Undercurrent,323733,False,46,0,0,4,0.995,0.4,0.0428,0.948,0.106,-24.341,0.0479,0.151,90.708,JazzAndCigarettes
The Peacocks - 2003 Remastered Version,Bill Evans,You Must Believe In Spring,363773,False,0,0,0,4,0.85,0.395,0.203,0.934,0.11,-18.561,0.0382,0.132,120.622,JazzAndCigarettes
Midnight Mood,Bill Evans,Days of Wine and Roses,260839,False,0,5,0,3,0.989,0.448,0.241,0.896,0.235,-15.305,0.0534,0.0765,139.693,JazzAndCigarettes
Stairway To The Stars,"Bill Evans,Jim Hall",Undercurrent,341360,False,42,5,1,3,0.995,0.444,0.0315,0.949,0.109,-27.13,0.0397,0.107,143.784,JazzAndCigarettes
When I Fall In Love,"Bill Evans,Scott LaFaro,Paul Motian",Portrait In Jazz [Keepnews Collection],297386,False,0,3,1,3,0.977,0.412,0.0163,0.73,0.0793,-22.851,0.0461,0.149,161.769,JazzAndCigarettes
Spring Is Here,"Bill Evans,Scott LaFaro,Paul Motian",Portrait In Jazz [Keepnews Collection],309360,False,41,8,1,4,0.985,0.409,0.0432,0.859,0.101,-22.772,0.0411,0.0815,111.976,JazzAndCigarettes
Goodbye,"Cannonball Adderley,Bill Evans",Know What I Mean?,373973,False,0,0,0,4,0.964,0.527,0.045,0.781,0.105,-16.953,0.0404,0.264,113.577,JazzAndCigarettes
