Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Pride and Joy,Stevie Ray Vaughan,The Real Deal: Greatest Hits Volume 1,219840,False,55,8,1,4,0.0251,0.426,0.693,0.0065,0.101,-9.759,0.0377,0.751,126.804,LongStarBlues
Me And My Guitar,Freddie King,The Best Of Freddie King: The Shelter Years,244693,False,39,11,0,4,0.548,0.689,0.791,6.08e-06,0.285,-7.0,0.0495,0.811,102.519,LongStarBlues
"Honey, Hush aka Talking Woman Blues",Albert Collins,Ice Pickin',268466,False,0,2,0,4,0.154,0.863,0.507,0.00159,0.127,-13.518,0.0351,0.886,122.184,LongStarBlues
Why Don't You Eat Where You Slept Last Night?,Zuzu Bollin,Texas Bluesman,174133,False,34,10,1,4,0.736,0.606,0.393,0.69,0.0823,-16.296,0.0506,0.832,131.863,LongStarBlues
Don't Cha Know,Jimmie Vaughan,Strange Pleasure,260733,False,39,0,0,4,0.29,0.644,0.727,0.00025,0.14,-9.459,0.0453,0.94,127.93,LongStarBlues
Be Careful With a Fool,Johnny Winter,Johnny Winter,314880,False,54,7,0,3,0.282,0.294,0.736,0.0418,0.102,-7.961,0.151,0.753,208.576,LongStarBlues
"Have Blues, Will Travel",Smokin' Joe Kubek & Bnois King,"Have Blues, Will Travel",247373,False,0,4,0,4,0.000844,0.283,0.951,0.000551,0.088,-3.488,0.101,0.464,165.969,LongStarBlues
Whiskey Drinkin' Blues,"Andrew ""Jr Boy"" Jones",I Know What It's Like,273346,False,0,7,1,3,0.195,0.658,0.569,1.22e-05,0.281,-5.574,0.0302,0.454,119.949,LongStarBlues
La Grange - 2005 Remaster,ZZ Top,Tres Hombres (Expanded 2006 Remaster),230480,False,75,4,0,4,0.00249,0.545,0.64,0.0304,0.196,-9.937,0.224,0.606,80.544,LongStarBlues
Rolling With The Punches,Johnny Copeland,Catch Up With The Blues,394333,False,33,8,1,4,0.0742,0.73,0.799,0.01,0.176,-8.254,0.0258,0.884,99.785,LongStarBlues
Let The Good Times Roll,Pee Wee Crayton,Things I Used To Do,173000,False,33,9,1,4,0.265,0.619,0.839,0.00363,0.0789,-10.204,0.416,0.743,162.385,LongStarBlues
My Texas Home,W.C. Clark,Deep In The Heart,293373,False,0,7,1,3,0.545,0.373,0.699,0.002,0.137,-2.909,0.0452,0.398,169.577,LongStarBlues
Wait On Time,The Fabulous Thunderbirds,The Fabulous Thunderbirds,183560,False,38,4,1,4,0.61,0.673,0.605,0,0.195,-5.677,0.0559,0.84,128.593,LongStarBlues
Everytime I Roll The Dice,Delbert McClinton,Never Been Rocked Enough,269933,False,46,0,1,4,0.0537,0.732,0.849,2.33e-05,0.112,-6.435,0.025,0.968,112.294,LongStarBlues
We The People,Guitar Shorty,We The People,260200,False,0,0,1,4,0.174,0.315,0.859,0.000917,0.893,-3.086,0.0408,0.783,177.419,LongStarBlues
My Way Down,Chris Duarte,Texas Sugar Strat Magik,276560,False,35,6,0,4,0.0174,0.608,0.97,0.131,0.0933,-4.943,0.0465,0.617,98.307,LongStarBlues
Texas Flood,Stevie Ray Vaughan,The Essential Stevie Ray Vaughan And Double Trouble,320706,False,45,6,1,3,0.000872,0.257,0.473,0.367,0.32,-9.873,0.0331,0.452,173.75,LongStarBlues
Good Texan,The Vaughan Brothers,Family Style,262293,False,40,9,1,4,0.0511,0.79,0.588,0.0013,0.29,-10.241,0.0519,0.82,142.573,LongStarBlues
"I Gotta Let You Go (feat. Gary Clark, Jr.)","Omar and The Howlers,Gary Clark Jr.",Too Much is not enough,189040,False,37,9,1,4,0.0783,0.695,0.62,0.00633,0.113,-8.965,0.0459,0.558,114.49,LongStarBlues
Sugar Coated Love,Lou Ann Barton,Read My Lips,236026,False,34,1,1,4,0.314,0.629,0.471,5.91e-06,0.0936,-11.197,0.0304,0.814,121.039,LongStarBlues
Crazy Dream,Los Lonely Boys,Los Lonely Boys,287200,False,37,10,0,4,0.0132,0.509,0.858,3.97e-05,0.129,-5.196,0.044,0.894,117.453,LongStarBlues
Life by the Drop,Doyle Bramhall,Fitchburg Street,185693,False,0,1,0,4,0.017,0.511,0.686,0.00265,0.119,-5.02,0.0278,0.309,110.509,LongStarBlues
I Got My Mojo Working,"Clarence ""Gatemouth"" Brown",Standing My Ground,286960,False,0,7,1,5,0.351,0.681,0.583,0.0576,0.0823,-11.003,0.0955,0.863,123.345,LongStarBlues
Scratch My Back,The Fabulous Thunderbirds,The Fabulous Thunderbirds,232706,False,53,4,1,4,0.496,0.775,0.499,0.0219,0.114,-7.181,0.0415,0.862,121.056,LongStarBlues
I Ain't Drunk,Albert Collins,Cold Snap,247506,False,0,2,1,4,0.171,0.657,0.558,0.000167,0.0466,-14.161,0.079,0.779,125.46,LongStarBlues
Gotta Serve Somebody,Denny Freeman,Diggin' On Dylan,288613,False,32,4,0,4,0.0682,0.714,0.662,0.929,0.331,-7.976,0.0254,0.769,103.133,LongStarBlues
88 Answers,Ezra Charles,Return Of The Radio Avengers,199400,False,30,0,1,4,0.129,0.596,0.797,0.00626,0.337,-7.007,0.0431,0.651,127.736,LongStarBlues
Since I Met You Baby,"Omar Kent Dykes,Jimmie Vaughan",Big Town Playboy,200520,False,31,4,1,1,0.856,0.773,0.35,0.0238,0.148,-8.66,0.0298,0.81,105.025,LongStarBlues
"Honest I Do (feat. Gary Clark, Jr.)","Omar and The Howlers,Gary Clark Jr.",Too Much is not enough,141106,False,33,9,1,3,0.421,0.72,0.412,0.00071,0.102,-8.139,0.0305,0.463,111.444,LongStarBlues
Sunny Day Friends,Diunna Greenleaf,Trying to Hold On,220933,False,29,0,1,4,0.273,0.604,0.771,0,0.0599,-4.656,0.0619,0.594,124.089,LongStarBlues
Givin' Up On Love,"Byther Smith,Larry Davis",Blues Knights-Chicago Blues Festival 1985 (Blues Reference),347880,False,31,3,1,3,0.239,0.456,0.389,0.0364,0.356,-11.568,0.0339,0.399,179.074,LongStarBlues
Part Time Love,"Texas Bluesmen,Robert Ealey",Texas Bluesmen,385453,False,29,5,1,3,0.219,0.609,0.394,1.8e-05,0.128,-12.993,0.0453,0.567,108.515,LongStarBlues
A Blue Song,"Joe ""Guitar"" Hughes",Texas Guitar Slinger,314493,False,28,7,1,4,0.0946,0.784,0.594,0.000429,0.085,-11.61,0.0467,0.749,124.073,LongStarBlues
Bluesman for Life - Remastered,Roy Gaines,Bluesman for Life,310480,False,30,5,0,4,0.0742,0.612,0.654,0.647,0.432,-9.895,0.0354,0.786,120.406,LongStarBlues
Texas,"Eric Johnson,Steve Miller,Jimmie Vaughan",Up Close,362240,False,27,0,1,3,0.131,0.349,0.672,4.75e-05,0.184,-6.358,0.0311,0.405,177.294,LongStarBlues
Don't Lose My Number,"Smokin' Joe Kubek,Bnois King",Blood Brothers,213586,False,0,9,1,4,0.0136,0.48,0.838,0.000187,0.322,-3.004,0.0414,0.848,117.281,LongStarBlues
Dengue Woman Blues,Jimmie Vaughan,The Essential Jimmie Vaughan,383760,False,47,5,0,3,0.33,0.393,0.358,0.0313,0.12,-9.598,0.0471,0.598,180.075,LongStarBlues
I'm About to Lose My Mind,"Kai Strauss,Darrell Nulisch",Electric Blues,299853,False,28,0,1,4,0.4,0.519,0.605,0.00782,0.366,-6.399,0.0244,0.626,81.123,LongStarBlues
Crazy Love,Long John Hunter,Ride With Me,341933,False,0,5,1,3,0.289,0.479,0.399,0.00653,0.152,-12.489,0.0351,0.412,188.245,LongStarBlues
Whiskey Drinkin' Blues,"Andrew ""Jr Boy"" Jones",I Know What It's Like,273346,False,37,7,1,3,0.195,0.658,0.569,1.22e-05,0.281,-5.574,0.0302,0.454,119.949,LongStarBlues
Starting All Over,Tutu Jones,Inside Out,246600,False,28,7,0,4,0.24,0.744,0.832,0.00391,0.653,-4.268,0.0242,0.967,94.68,LongStarBlues
Shakin' Dem Bones,U.P. Wilson,Best Of - The Texas Blues Guitar Tornado,227066,False,27,0,1,4,0.575,0.501,0.645,0.00663,0.0828,-10.914,0.0866,0.684,157.296,LongStarBlues
Pay the Band,Buddy Whittington,Buddy Whittington,273426,False,30,9,1,4,0.155,0.692,0.791,1.46e-06,0.239,-4.895,0.0494,0.41,118.14,LongStarBlues
Mary Had a Little Lamb,Stevie Ray Vaughan,Texas Flood (Legacy Edition),166960,False,57,8,1,4,0.0882,0.678,0.493,0.153,0.264,-13.782,0.0302,0.914,122.627,LongStarBlues
