Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Walk,Pantera,Vulgar Display of Power,315120,True,73,1,0,4,0.000155,0.43,0.704,0.00221,0.0933,-8.008,0.0804,0.703,118.242,Metal
Master Of Puppets,Metallica,Master Of Puppets (Remastered),515386,False,73,4,0,4,0.000647,0.543,0.836,0.431,0.153,-9.11,0.0353,0.56,105.173,Metal
Duality,Slipknot,Vol. 3: The Subliminal Verses,252613,False,76,4,0,4,0.000237,0.354,0.982,0.000294,0.204,-3.026,0.168,0.194,143.772,Metal
Chop Suey!,System Of A Down,Toxicity,210240,False,0,7,0,4,0.000353,0.42,0.929,0.000747,0.122,-3.899,0.121,0.3,127.204,Metal
The Trooper - 2015 Remaster,Iron Maiden,Piece of Mind (2015 Remaster),252733,False,72,4,0,4,0.0318,0.285,0.908,0.00909,0.311,-4.601,0.0705,0.669,159.756,Metal
Raining Blood,Slayer,Reign In Blood (Expanded),255186,False,63,10,0,4,0.000405,0.227,0.995,0.393,0.127,-4.361,0.173,0.0363,87.499,Metal
Du hast,Rammstein,Sehnsucht,234226,False,0,9,0,4,0.00369,0.64,0.922,0.055,0.332,-6.283,0.0385,0.716,125.105,Metal
Under and Over It,Five Finger Death Punch,American Capitalist (Standard),218133,True,47,11,0,4,1.41e-05,0.468,0.996,0,0.26,-3.027,0.179,0.094,75.978,Metal
Symphony Of Destruction,Megadeth,Countdown To Extinction,246733,False,71,4,0,4,0.000805,0.61,0.891,0.0928,0.0657,-5.452,0.0587,0.51,139.903,Metal
Stinkfist,TOOL,Ænima,312120,False,65,0,1,4,0.000174,0.286,0.728,0.837,0.133,-6.608,0.0616,0.467,171.454,Metal
Hail to the King,Avenged Sevenfold,Hail to the King,305906,False,75,3,0,4,0.000297,0.58,0.916,0.0259,0.126,-4.358,0.0387,0.683,118.004,Metal
Laid to Rest,Lamb of God,Ashes Of The Wake,230226,True,0,1,1,3,0.000216,0.359,0.959,0.00343,0.435,-3.685,0.104,0.158,103.038,Metal
Ace of Spades,Motörhead,Ace of Spades (Expanded Edition),166920,False,74,3,0,4,0.000852,0.329,0.974,0.000118,0.0904,-8.77,0.135,0.234,140.862,Metal
Paranoid,Black Sabbath,Paranoid (2009 Remastered Version),168440,False,77,4,0,4,7.85e-05,0.429,0.631,0.00411,0.175,-11.514,0.0769,0.376,162.734,Metal
The Beautiful People,Marilyn Manson,Antichrist Superstar,218826,True,72,10,0,4,0.000779,0.621,0.834,0.456,0.0611,-10.068,0.0557,0.937,143.973,Metal
