Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Celebrity Skin,Hole,Celebrity Skin,162666,False,66,9,1,4,9.44e-06,0.438,0.905,5.4e-05,0.363,-6.161,0.0419,0.723,134.163,MyJam(TLob)
Come And Get Your Love,Redbone,The Best Of Redbone,208306,False,64,2,1,4,0.231,0.793,0.481,0.00122,0.06,-14.246,0.0278,0.97,107.744,MyJam(TLob)
Ain't No Mountain High Enough - Mono Version,"Marvin Gaye,Tammi Terrell",Anthology,148093,False,0,7,1,4,0.355,0.621,0.825,0.000932,0.152,-6.005,0.0324,0.886,129.168,MyJam(TLob)
Fox On The Run,Sweet,Best Of Sweet,205733,False,55,4,1,4,0.0308,0.523,0.762,0,0.0675,-8.669,0.0346,0.881,128.064,MyJam(TLob)
I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5,176333,False,75,8,1,4,0.305,0.469,0.538,0.00012,0.37,-13.559,0.0571,0.886,196.605,MyJam(TLob)
Come A Little Bit Closer,Jay & The Americans,Come A Little Bit Closer: The Best Of Jay & The Americans,166666,False,67,3,1,4,0.52,0.636,0.684,0.0015,0.534,-9.302,0.057,0.881,132.509,MyJam(TLob)
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,303373,False,80,10,1,4,0.652,0.388,0.338,3.72e-06,0.248,-10.054,0.0328,0.477,177.784,MyJam(TLob)
In the Shadows,The Rasmus,Dead Letters,257920,False,69,2,1,4,0.000109,0.6,0.796,5.2e-05,0.484,-4.481,0.0275,0.75,105.991,MyJam(TLob)
Lobos,Leiva,Nuclear,217833,False,52,11,0,4,0.000274,0.599,0.832,1.6e-05,0.355,-5.76,0.0627,0.705,128.034,MyJam(TLob)
Devil Came To Me - 2007 Remastered Version,Dover,2,276426,False,0,2,0,4,0.0137,0.409,0.965,3.43e-05,0.349,-3.15,0.0856,0.412,171.304,MyJam(TLob)
(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay (Mono),163755,False,74,2,1,4,0.684,0.769,0.367,1.62e-05,0.081,-11.226,0.0312,0.535,103.621,MyJam(TLob)
Na Na Hey Hey - Kiss Him Goodbye,The Belmonts,"Cigars, Acappella, Candy",252466,False,20,9,1,5,0.822,0.463,0.339,0,0.355,-8.058,0.0379,0.443,137.4,MyJam(TLob)
Feel Good Inc.,Gorillaz,Demon Days,222640,False,81,6,1,4,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,0.772,138.559,MyJam(TLob)
The Three of Us,Streetlight Manifesto,The Hands That Thieve,318013,False,52,6,0,4,0.00295,0.534,0.897,0.000132,0.115,-3.927,0.0542,0.887,130.144,MyJam(TLob)
Rock DJ,Robbie Williams,Sing When You're Winning,258560,False,69,7,1,4,0.0267,0.708,0.772,0,0.467,-4.264,0.0322,0.861,103.035,MyJam(TLob)
Hazy Shade of Winter (feat. Ray Toro),"Gerard Way,Ray Toro",Hazy Shade of Winter (feat. Ray Toro),197733,False,58,5,0,4,0.00742,0.248,0.937,0.362,0.0799,-5.121,0.0687,0.142,149.796,MyJam(TLob)
Unbelievable,EMF,Schubert Dip,209813,True,62,1,1,4,0.000341,0.637,0.849,0.0386,0.141,-6.855,0.0362,0.936,104.074,MyJam(TLob)
