Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Goosebumps,"Travis Scott,Kendrick Lamar",The Hate U Give,243840,True,0,7,1,4,0.0801,0.85,0.629,0,0.13,-6.27,0.0469,0.468,130.102,Rap(TLob)
Yo No Soy Esa,Machete en Boca,Yo No Soy Esa,220500,False,23,9,1,4,0.363,0.795,0.756,0.003,0.0942,-6.844,0.23,0.616,132.024,Rap(TLob)
Serpiente Veneno (feat. Ele A El Dominio),"Kidd Keo,Ele A El Dominio",Serpiente Veneno (feat. Ele A El Dominio),268437,False,62,1,1,4,0.108,0.918,0.527,8.62e-05,0.0549,-6.733,0.276,0.553,99.973,Rap(TLob)
Homicide,"Logic,Eminem",Homicide,245413,True,68,10,0,4,0.145,0.722,0.764,0,0.171,-5.656,0.398,0.796,139.831,Rap(TLob)
440 Freestyle,Ceky Viciny,440 Freestyle,280424,True,12,11,0,4,0.343,0.741,0.764,1.66e-06,0.54,-7.528,0.378,0.816,97.838,Rap(TLob)
Bienvenue Dans La Secte,La Secte Phonétik,La Réunion Des Text Addicts,261720,False,52,1,1,4,0.233,0.632,0.458,0,0.0759,-6.038,0.362,0.809,114.866,Rap(TLob)
Ain't Gonna Die Tonight (feat. Eric Nally),"Macklemore,Eric Nally",GEMINI,214720,True,56,7,0,4,0.232,0.687,0.768,0,0.118,-5.579,0.14,0.865,81.977,Rap(TLob)
SERÁ POR ALGO,"Endikah,fernandocosta,J Dose",SERÁ POR ALGO,220481,True,37,1,0,4,0.412,0.751,0.809,0,0.176,-3.171,0.36,0.9,83.011,Rap(TLob)
Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X,Billy Ray Cyrus",Old Town Road,157066,False,12,6,1,4,0.0533,0.878,0.619,0,0.113,-5.56,0.102,0.639,136.041,Rap(TLob)
All Eyez On Me,2Pac,All Eyez On Me,307773,True,33,1,1,4,0.03,0.873,0.719,0,0.333,-5.948,0.248,0.858,93.281,Rap(TLob)
Ambitionz Az A Ridah,2Pac,All Eyez On Me,278386,True,9,2,1,4,0.00253,0.801,0.908,0.000655,0.0698,-6.554,0.221,0.805,87.279,Rap(TLob)
Wow.,Post Malone,Wow.,149520,True,21,11,0,4,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,0.385,99.947,Rap(TLob)
Dora la Exploradora,"Bejo,Dj Pimp",Dora la Exploradora,183600,False,35,9,1,4,0.785,0.512,0.606,0.000134,0.0929,-9.92,0.307,0.537,99.979,Rap(TLob)
Carretera,"Natos y Waor,Recycled J",Carretera,214588,False,55,4,0,4,0.734,0.673,0.753,0,0.111,-6.632,0.0549,0.592,84.96,Rap(TLob)
IDEALES,"Blake,Zaidbreak",IDEALES,251323,False,0,6,0,4,0.00679,0.639,0.569,0,0.0812,-14.577,0.278,0.629,119.71,Rap(TLob)
Loyalty II,"Los Hijos de la Luna,Grind,Makro",Loyalty II,202285,True,55,9,1,4,0.394,0.541,0.574,0,0.116,-10.364,0.207,0.184,137.883,Rap(TLob)
