,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
0,0,La Clairière,Piano Novel,La Clairière,141023,False,0,3.0,1.0,3.0,0.985,0.34600000000000003,0.0644,0.893,0.17,-22.683000000000003,0.0431,0.119,126.717,Sleep Tracks
1,1,Etude,Joep Beving,Solipsism,275040,False,0,9.0,0.0,4.0,0.996,0.403,0.0122,0.887,0.0751,-27.733,0.0405,0.24,112.556,Sleep Tracks
2,2,Vladimir's Blues,Max Richter,The Blue Notebooks,78546,False,0,9.0,1.0,3.0,0.995,0.393,0.17,0.8540000000000001,0.105,-21.919,0.0692,0.0691,115.227,Sleep Tracks
3,3,Nuvole bianche,Ludovico Einaudi,Una Mattina,357706,False,29,8.0,1.0,1.0,0.956,0.177,0.06,0.848,0.103,-25.377,0.0574,0.0499,136.248,Sleep Tracks
4,4,Saltare (Somewhere at the Baltic Sea),Dirk Maassen,The 8 Pianos Project,257109,False,0,9.0,0.0,3.0,0.992,0.386,0.0949,0.931,0.0859,-20.617,0.0733,0.104,68.612,Sleep Tracks
5,5,Il,Jean-Michel Blais,Il,125750,False,0,4.0,1.0,5.0,0.982,0.289,0.378,0.856,0.128,-13.447,0.0336,0.285,106.265,Sleep Tracks
6,6,Hers,The Arcadian Wild,The Arcadian Wild,161750,False,0,8.0,1.0,4.0,0.971,0.302,0.187,0.898,0.118,-18.961,0.0579,0.0873,132.937,Sleep Tracks
7,7,Interlude For Piano,Peter Bradley Adams,Between Us,115546,False,0,2.0,1.0,5.0,0.973,0.218,0.00993,0.922,0.0602,-28.235,0.0424,0.153,68.65,Sleep Tracks
8,8,Rays of Hope,Oneke,Rays of Hope,121044,False,48,2.0,0.0,3.0,0.991,0.222,0.0584,0.946,0.1,-22.44,0.0322,0.0471,143.786,Sleep Tracks
9,9,Cascade,Goldmund,Sometimes,158961,False,38,11.0,0.0,4.0,0.942,0.324,0.0323,0.892,0.11,-28.388,0.0412,0.16699999999999998,124.917,Sleep Tracks
10,10,River Running,Grobert,Sanctuary,221562,False,42,7.0,1.0,4.0,0.988,0.433,0.205,0.887,0.0909,-14.938,0.0608,0.132,69.435,Sleep Tracks
11,11,Intro,Black Elk,Sparks,98000,False,48,5.0,0.0,1.0,0.989,0.399,0.267,0.924,0.118,-19.636,0.0435,0.18,111.425,Sleep Tracks
12,12,A Game of Badminton (feat. Jack Liebeck),"Dario Marianelli,Jack Liebeck,Benjamin Wallfisch",Jane Eyre - Original Motion Picture Soundtrack,58386,False,50,7.0,0.0,1.0,0.994,0.375,0.00406,0.908,0.0842,-31.824,0.0671,0.358,139.68200000000002,Sleep Tracks
13,13,A Sky Full of Flowers,Jeff Bright Jr,Piano & Chill,218692,False,43,6.0,1.0,4.0,0.99,0.324,0.0645,0.929,0.19,-26.821,0.0436,0.0396,101.942,Sleep Tracks
14,14,Only Questions,Max Richter,The Leftovers (Music from the HBO® Series) Season 1,77418,False,0,6.0,0.0,4.0,0.994,0.38,0.0089,0.8909999999999999,0.0961,-33.388000000000005,0.0491,0.0807,71.024,Sleep Tracks
15,15,Improv #10 - One Last Thought,The Daydream Club,Piano Project,167000,False,47,9.0,0.0,1.0,0.994,0.452,0.0669,0.914,0.0966,-19.454,0.0388,0.197,74.852,Sleep Tracks
16,16,Tokka,Agnes Obel,Aventine (Deluxe),89520,False,40,6.0,0.0,4.0,0.993,0.568,0.181,0.935,0.103,-19.451,0.0283,0.35100000000000003,85.89200000000002,Sleep Tracks
17,17,Awakening,Otto Wahl,Awakening,180773,False,53,10.0,0.0,1.0,0.995,0.429,0.0541,0.928,0.114,-26.759,0.0411,0.0569,122.311,Sleep Tracks
18,18,Wanderlust,Joep Beving,Solipsism,343386,False,0,2.0,0.0,4.0,0.995,0.313,0.0368,0.902,0.0877,-26.294,0.0395,0.104,130.213,Sleep Tracks
19,19,Mrs. Smith,Rebour,Piano & Chill,107463,False,49,0.0,1.0,4.0,0.983,0.401,0.0268,0.879,0.121,-23.912,0.0449,0.0725,121.47,Sleep Tracks
20,20,La Lluvia,Relajar,La Lluvia,198709,False,43,11.0,1.0,4.0,0.995,0.386,0.0156,0.963,0.119,-24.846,0.0463,0.0597,75.982,Sleep Tracks
21,21,Threnody,Goldmund,The Malady Of Elegance,281120,False,57,2.0,1.0,4.0,0.989,0.217,0.00572,0.925,0.109,-30.767,0.0394,0.174,85.279,Sleep Tracks
22,22,Sleeping Lotus,Joep Beving,Solipsism,152000,False,0,7.0,0.0,4.0,0.994,0.341,0.0296,0.901,0.112,-26.526,0.0402,0.18,65.942,Sleep Tracks
