Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Switch,"Cory Henry,The Funk Apostles",Something to Say,196722,True,49,1,1,4,0.034,0.861,0.69,5.63e-05,0.163,-7.738,0.113,0.744,98.048,SoulnCity
Preaching To The Choir,Nona,Nona,210027,False,47,10,0,4,0.292,0.707,0.659,0,0.116,-7.374,0.0445,0.57,95.021,SoulnCity
One Time,"Otis Junior,Dr. Dundiff",Rising With It,210000,False,43,6,0,4,0.159,0.666,0.566,0,0.106,-6.428,0.602,0.875,81.981,SoulnCity
Can't Stop Loving (What Your Heart Still Loves),Steffen Morrison,Soul Revolution,203893,False,37,0,0,4,0.157,0.678,0.843,0,0.301,-7.197,0.102,0.736,114.971,SoulnCity
Anything For You,Ledisi,The Wild Card,257013,False,50,7,1,3,0.633,0.541,0.407,0,0.111,-7.533,0.15,0.347,133.338,SoulnCity
Everything You Touch Is Gold,Gregory Porter,All Rise (Deluxe),363240,False,58,4,1,4,0.336,0.637,0.446,1.82e-05,0.183,-7.767,0.0649,0.423,75.007,SoulnCity
Wasted,Dragonfruit,Wasted,217777,True,43,6,1,4,0.554,0.686,0.49,6.7e-06,0.0912,-11.893,0.0507,0.523,81.011,SoulnCity
Rise - A COLORS SHOW,Parker Louis,Rise - A COLORS SHOW,170000,False,44,6,0,4,0.632,0.613,0.494,0.033,0.227,-12.124,0.0783,0.524,89.984,SoulnCity
JEWELZ,Anderson .Paak,JEWELZ,174213,True,70,11,0,4,0.371,0.884,0.653,0.00135,0.812,-7.653,0.0586,0.766,108.548,SoulnCity
Bittersweet,Lianne La Havas,Bittersweet,236640,False,8,5,0,4,0.346,0.578,0.41,0.000182,0.219,-7.555,0.0322,0.313,137.908,SoulnCity
Half-Moon Bag,Feng Suave,Half-Moon Bag,274266,False,46,4,1,4,0.656,0.577,0.347,0.000122,0.361,-12.985,0.0271,0.564,100.041,SoulnCity
Hold On,H.E.R.,Hold On,203214,False,68,5,1,3,0.453,0.461,0.542,4.32e-06,0.146,-5.202,0.0457,0.189,120.209,SoulnCity
I'll Be Your Radio,"Jarrod Lawson,Moonchild",Be The Change,265613,False,43,3,0,4,0.598,0.627,0.317,1.39e-06,0.107,-9.9,0.0375,0.294,100.094,SoulnCity
Everything,"Gotts Street Park,Rosie Lowe",Everything,215573,False,53,0,1,4,0.14,0.658,0.496,0.192,0.184,-9.303,0.0484,0.625,82.122,SoulnCity
Damaged Heart,The Tibbs,Damaged Heart,190026,False,41,9,0,4,0.0266,0.606,0.818,0.00128,0.0686,-6.045,0.0396,0.687,106.432,SoulnCity
In Your Head,Isabelle Brown,In Your Head,177052,False,42,1,1,4,0.00254,0.57,0.729,0,0.204,-6.838,0.176,0.63,163.643,SoulnCity
Forever Yours,Nona,Forever Yours,182631,False,58,6,1,4,0.177,0.749,0.679,0,0.0756,-6.205,0.0292,0.552,101.954,SoulnCity
In the Air,L.A.B.,L.A.B. III,252680,False,65,9,0,4,0.105,0.974,0.643,0.00141,0.0833,-8.857,0.0452,0.967,117.985,SoulnCity
