Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
ROXANNE,Arizona Zervas,ROXANNE,163636,True,2,6,0,5,0.0522,0.621,0.601,0,0.46,-5.616,0.148,0.457,116.735,Tuff
223's (feat. 9lokknine),"YNW Melly,9lokknine",223's (feat. 9lokknine),176640,True,72,0,0,4,0.0388,0.932,0.547,0,0.0924,-7.787,0.333,0.695,94.998,Tuff
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,292093,True,78,0,0,4,0.0161,0.542,0.914,0,0.744,-4.747,0.113,0.576,153.993,Tuff
PICK IT UP (feat. A$AP Rocky),"Famous Dex,A$AP Rocky",Pick It Up (feat. A$AP Rocky),191251,True,69,1,1,4,0.0149,0.921,0.467,0.000238,0.334,-8.443,0.119,0.287,135.995,Tuff
Delirious (Boneless) (feat. Kid Ink),"Steve Aoki,Chris Lake,Tujamo,Kid Ink",Delirious (Boneless) (feat. Kid Ink),223413,False,47,8,0,4,0.0195,0.706,0.912,0,0.232,-4.44,0.0565,0.925,128.004,Tuff
Slippery (feat. Gucci Mane),"Migos,Gucci Mane",Culture,304041,True,72,1,0,4,0.307,0.92,0.674,0,0.104,-5.662,0.264,0.741,141.967,Tuff
Cash Machine,Shelley FKA DRAM,Big Baby DRAM,181154,True,51,9,1,4,0.522,0.745,0.669,0,0.154,-3.613,0.129,0.699,143.164,Tuff
Nice For What,Drake,Nice For What,210925,True,5,8,1,4,0.0934,0.567,0.913,0.000124,0.114,-6.471,0.0736,0.792,93.35,Tuff
Jordan Belfort,"Wes Walker,Dyl",Jordan Belfort,207911,True,66,11,0,4,0.125,0.86,0.719,0,0.0799,-4.325,0.33,0.496,160.049,Tuff
Ultralight Beam,Kanye West,The Life Of Pablo,320680,True,73,0,0,4,0.62,0.592,0.403,0,0.54,-8.768,0.414,0.391,105.169,Tuff
Sin City (Remix),"Chrishan,Ty Dolla $ign",Sin City (Remix),208105,True,0,6,1,4,0.211,0.735,0.328,0,0.106,-9.186,0.259,0.305,120.193,Tuff
White Iverson,Post Malone,White Iverson,255173,True,0,7,1,4,0.236,0.669,0.521,0,0.0802,-8.732,0.0366,0.327,130.071,Tuff
Plain Jane,A$AP Ferg,Still Striving,173600,True,75,11,1,4,0.0651,0.797,0.844,0,0.087,-5.482,0.275,0.52,170.142,Tuff
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,243836,True,88,7,1,4,0.0847,0.841,0.728,0,0.149,-3.37,0.0484,0.43,130.049,Tuff
Look Alive (feat. Drake),"BlocBoy JB,Drake",Look Alive (feat. Drake),181263,True,76,10,1,4,0.00104,0.922,0.581,5.86e-05,0.105,-7.495,0.27,0.595,140.022,Tuff
T-Shirt,Migos,Culture,242407,True,68,10,0,4,0.242,0.865,0.687,0,0.158,-3.744,0.217,0.486,139.023,Tuff
No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame,Roscoe Dash,Wale",Flockaveli,263773,True,75,1,1,4,0.00544,0.76,0.595,0,0.241,-6.366,0.0391,0.361,131.497,Tuff
Stir Fry,Migos,Culture II,190288,True,71,2,1,4,0.00263,0.817,0.816,0,0.159,-5.402,0.269,0.508,181.982,Tuff
Ric Flair Drip (& Metro Boomin),"Offset,Metro Boomin",Without Warning,172800,True,81,9,1,4,0.149,0.88,0.428,5.07e-05,0.114,-8.28,0.206,0.333,100.007,Tuff
Walk It Talk It,"Migos,Drake",Culture II,276147,True,76,2,1,4,0.0876,0.907,0.633,2.6e-06,0.106,-5.145,0.184,0.395,145.914,Tuff
Plug Walk,Rich The Kid,The World Is Yours,175229,True,74,11,1,4,0.202,0.876,0.519,0,0.108,-6.531,0.143,0.158,94.981,Tuff
Bank Account,21 Savage,Issa Album,220306,True,78,8,0,4,0.0151,0.884,0.346,7.04e-06,0.0871,-8.228,0.351,0.376,75.016,Tuff
Rake It Up (feat. Nicki Minaj),"Yo Gotti,Nicki Minaj",I Still Am,276333,True,69,1,0,4,0.022,0.91,0.444,0,0.137,-8.126,0.344,0.53,149.953,Tuff
HUMBLE.,Kendrick Lamar,DAMN.,177000,True,82,1,0,4,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,0.421,150.011,Tuff
No Limit,"G-Eazy,A$AP Rocky,Cardi B",The Beautiful & Damned,245386,True,74,1,1,4,0.0117,0.838,0.771,0,0.0853,-3.791,0.244,0.405,175.957,Tuff
XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,182706,True,83,11,0,4,0.00264,0.732,0.75,0,0.109,-6.366,0.231,0.401,155.096,Tuff
Mask Off,Future,FUTURE,204600,True,79,2,1,4,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,0.281,150.062,Tuff
Magnolia,Playboi Carti,Playboi Carti,181812,True,75,11,0,4,0.0114,0.791,0.582,0,0.35,-7.323,0.286,0.443,162.991,Tuff
JAPAN,Famous Dex,Dex Meets Dexter,142000,True,72,6,1,4,0.121,0.733,0.678,0,0.344,-7.771,0.438,0.841,175.985,Tuff
New Freezer (feat. Kendrick Lamar),"Rich The Kid,Kendrick Lamar",The World Is Yours,191937,True,66,0,1,4,0.0405,0.884,0.698,0,0.195,-9.101,0.364,0.575,140.068,Tuff
Powerglide (feat. Juicy J) - From SR3MM,"Rae Sremmurd,Swae Lee,Slim Jxmmi,Juicy J",SR3MM,332300,True,70,1,0,4,0.0168,0.713,0.831,0,0.118,-4.75,0.15,0.584,173.948,Tuff
Like Woah,Logic,The Incredible True Story,232693,True,57,4,0,4,0.035,0.717,0.907,0.00696,0.594,-4.457,0.0389,0.401,107.051,Tuff
