,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
0,0,Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),363521,True,77,7.0,1.0,4.0,0.397,0.708,0.843,0.0,0.799,-2.66,0.314,0.625,148.14,Workout Tracks
1,1,Panda,Desiigner,New English,246761,True,74,10.0,0.0,4.0,0.028,0.5760000000000001,0.7659999999999999,1.68e-06,0.366,-4.9430000000000005,0.449,0.236,144.833,Workout Tracks
2,2,Purple Lamborghini (with Rick Ross),"Skrillex,Rick Ross",Purple Lamborghini (with Rick Ross),215510,True,70,10.0,0.0,4.0,0.0019,0.457,0.899,0.0,0.831,-2.591,0.132,0.298,147.268,Workout Tracks
3,3,"Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz)","Rob $tone,Shelley FKA DRAM,Denzel Curry,Cousin Stizz","Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz)",242652,True,58,11.0,1.0,4.0,0.0336,0.828,0.49,2.71e-05,0.0867,-9.278,0.0593,0.279,107.968,Workout Tracks
4,4,Mercy.1,"Kanye West,Big Sean,Pusha T,2 Chainz",Kanye West Presents Good Music Cruel Summer,326346,True,54,6.0,0.0,4.0,0.045,0.731,0.624,3.37e-05,0.305,-5.761,0.311,0.528,140.131,Workout Tracks
5,5,You Can't Stop Me,Andy Mineo,Never Land,239961,False,0,3.0,0.0,4.0,0.0407,0.778,0.8,0.0,0.237,-5.082,0.17,0.478,146.011,Workout Tracks
6,6,Five Hours,Deorro,Five Hours,326887,False,63,5.0,0.0,4.0,0.0197,0.88,0.821,0.6609999999999999,0.234,-2.545,0.118,0.575,127.907,Workout Tracks
7,7,All The Way Up (Remix),"Fat Joe,Remy Ma,JAY-Z,French Montana,InfaRed",All The Way Up (Remix) (feat. French Montana & Infared) - Single,284830,True,65,10.0,0.0,5.0,0.097,0.564,0.7170000000000001,0.0,0.493,-6.403,0.397,0.423,117.489,Workout Tracks
8,8,Thunderstruck,AC/DC,The Razors Edge,292880,False,82,4.0,1.0,4.0,0.000147,0.502,0.89,0.0117,0.217,-5.175,0.0364,0.259,133.52,Workout Tracks
9,9,Bass Drops,Hard Driver,Point Break,194777,False,40,1.0,1.0,4.0,0.0016300000000000002,0.483,0.99,0.705,0.536,-3.909,0.128,0.105,149.91,Workout Tracks
