"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:2g25vi83iObKS4sAhflNH3","Belerofón","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:42LVi0IkAbBbM9ae9fKebZ","Madame Ayahuasca","1","3","216034","spotify:user:palomahk","2018-09-15T22:16:12Z"
"spotify:track:1orKDrFmHu3cFdZLcvjksK","Entre Tus Piernas","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:42LVi0IkAbBbM9ae9fKebZ","Madame Ayahuasca","1","7","213916","spotify:user:palomahk","2018-09-15T22:16:12Z"
"spotify:track:7oF5fqYEGeiG4QFXO7tEdj","Ella","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:2EAztzPg6lT0tRdbdQCvUf","Tres Tequilas & Un Mezcal","1","3","162479","spotify:user:palomahk","2018-09-15T22:16:39Z"
"spotify:track:70pGv7dhC118nlpcg3aTIc","Caminito a Motel","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:2EAztzPg6lT0tRdbdQCvUf","Tres Tequilas & Un Mezcal","1","9","263626","spotify:user:palomahk","2018-09-15T22:16:39Z"
"spotify:track:0cqigVrPJzcK1Hg1ORj222","Mariposas","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:1YcAKmUfrKrtgNzsUKlVO7","Tres Tequilas","1","4","300023","spotify:user:palomahk","2018-09-15T22:17:05Z"
"spotify:track:6l3kUCq0694DzOk6jljWeR","El Viaje","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:1YcAKmUfrKrtgNzsUKlVO7","Tres Tequilas","1","5","194488","spotify:user:palomahk","2018-09-15T22:17:05Z"
"spotify:track:3RfgNHdynjLIfxDjunNQ1a","Walter Palmeras","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:1YcAKmUfrKrtgNzsUKlVO7","Tres Tequilas","1","8","215967","spotify:user:palomahk","2018-09-15T22:17:05Z"
"spotify:track:06eq1Klk5R5JHrC2cdbMkG","Caminito a Motel","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:1YcAKmUfrKrtgNzsUKlVO7","Tres Tequilas","1","9","263637","spotify:user:palomahk","2018-09-15T22:17:05Z"
"spotify:track:7dLAJgM9aob7Ah6opicPxs","Martita","spotify:artist:0pzZI175Y8wiqfXxDyjPRP","Modo Avión","spotify:album:1lhY5XPC93b4nFGxiwBvBi","Lunes de Medicación","1","1","192542","spotify:user:palomahk","2018-09-15T22:17:30Z"
"spotify:track:1ZEZCq7YIgLlsz2P9sRPBP","Frío Corazón","spotify:artist:0pzZI175Y8wiqfXxDyjPRP","Modo Avión","spotify:album:3lQLjcgRFPG1lFWOLc3jQc","Frío Corazón","1","1","202418","spotify:user:palomahk","2018-09-15T22:17:32Z"
"spotify:track:2y7BGb8Kj1HU8AIMXwMJod","Cara o Cruz","spotify:artist:0pzZI175Y8wiqfXxDyjPRP","Modo Avión","spotify:album:1lhY5XPC93b4nFGxiwBvBi","Lunes de Medicación","1","3","167392","spotify:user:palomahk","2018-09-15T22:17:35Z"
