"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:7BFXQINSdAqgOmMydTGnKG","You Ain't The Problem - Claptone Remix","spotify:artist:0bzfPKdbXL5ezYW2z3UGQj, spotify:artist:4mncDFjVLUa3s025Tct3Ry","Michael Kiwanuka, Claptone","spotify:album:24U03pgag0P2AvPxzbBeH0","You Ain't The Problem (Claptone Remix)","1","1","164714","spotify:user:11132215416","2020-03-18T09:53:38Z"
"spotify:track:0Tptamf3lfUKIec6MchM78","Summer In The City","spotify:artist:6izT1rIpURdkh4cjgsileU","Dompe","spotify:album:77Mw7A6Au4m9iZaPDFQSv0","Summer In The City","1","1","309702","spotify:user:11132215416","2020-03-18T10:09:02Z"
"spotify:track:45XNvRsd7VClw8HG2ztrRd","Suda","spotify:artist:0uioawxHyc6pgvbUCq510I, spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:0b2GL7Y02vu50qieoQmw1w","Melanie Pfirrman, Pitbull, IAmChino","spotify:album:493BYHx8GD9KjH4l97B68r","Suda","1","1","168571","spotify:user:11132215416","2020-03-18T10:11:04Z"
"spotify:track:2V2wXJas7b4bPSs2LHpTnv","Dr. Funk (Riva Starr Mo' Disco Remix)","spotify:artist:19SmlbABtI4bXz864MLqOS, spotify:artist:1TRFAJu3Cw64APToZaGk9D","Carl Cox, Riva Starr","spotify:album:41Rcq8xe2TamdVLaK23Fyp","Dr. Funk (Riva Starr Remixes)","1","2","408903","spotify:user:11132215416","2020-03-18T10:18:46Z"
"spotify:track:2tDrlnQWiCDis4H8RT0W2h","YES! (feat. Rich The Kid & K CAMP)","spotify:artist:4qBgvVog0wzW75IQ48mU7v, spotify:artist:5bgfj5zUoWpyeVatGDjn6H, spotify:artist:1pPmIToKXyGdsCF6LmqLmI","KYLE, K CAMP, Rich The Kid","spotify:album:3ELdOnZbhc2ogc3BCAmQSd","YES! (feat. Rich The Kid & K CAMP)","1","1","195396","spotify:user:11132215416","2020-03-21T14:07:30Z"
"spotify:track:2V28fuXbzx60dZJ6TaSbrA","They Know","spotify:artist:5PlfkPxwCpRRWQJBxCa0By","HUGEL","spotify:album:49ZQqBGe1hAgLL6IPvUhyp","They Know","1","1","179406","spotify:user:11132215416","2020-03-21T14:17:15Z"
"spotify:track:0CAfXk7DXMnon4gLudAp7J","Low (feat. T-Pain)","spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:3aQeKQSyrW4qWr35idm0cy","Flo Rida, T-Pain","spotify:album:5j1wrOAOm5KFd17pPiSvle","Mail on Sunday","1","5","231400","spotify:user:11132215416","2020-03-21T14:21:16Z"
"spotify:track:2kL589YItlGYDBMQXOvrhu","All This Lovin","spotify:artist:1yDN7vHPBnAbYFpS25DTWV, spotify:artist:540vIaP2JwjQb9dm3aArA4","Vlade Kay, DJ Snake","spotify:album:1DMUhS2gxYru4F2Ks2yfg1","All This Lovin","1","1","198000","spotify:user:11132215416","2020-03-22T17:18:53Z"
"spotify:track:3JHw0gnnY4WO4YqsdBq0ZF","One Day (Vandaag) - Radio Edit","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","spotify:album:0ytEFC6xcBrRp3aKCBl3HI","One Day (Vandaag)","1","1","219066","spotify:user:11132215416","2020-03-22T17:22:37Z"
"spotify:track:76nqCfJOcFFWBJN32PAksn","Kings & Queens","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","spotify:album:6yUkGEJftbJl1QPvz4WTjO","Kings & Queens","1","1","162398","spotify:user:11132215416","2020-03-22T17:26:37Z"
