"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:6FuGJB290AQMAHTfjOYVaK","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","spotify:artist:6fWVd57NKTalqvmjRd2t8Z, spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5, spotify:artist:6ASri4ePR7RlsvIQgWPJpS","24kGoldn, Justin Bieber, J Balvin, iann dior","spotify:album:4PTxbJPI4jj0Kx8hwr1v0T","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","1","1","192745","","2020-11-20T12:45:52Z"
"spotify:track:7JK2tn5VBd1I8hlZ8bYSeU","Vacío","spotify:artist:29KrMIwUUqCvc66OHLcSMl","Inazio","spotify:album:3S8rfCddAuOQratGqB0xzX","Vacío","1","1","143999","","2020-11-19T10:55:44Z"
"spotify:track:29UkXUrWYGoPsxEesEH3qZ","Un Planeta Llamado Nosotros","spotify:artist:3heR1it0slFXjaa7E62zpw","Maldita Nerea","spotify:album:2UOcxINWhnl0heSIig86An","Un Planeta Llamado Nosotros","1","1","224926","","2020-11-16T15:35:02Z"
"spotify:track:0LaJesAbdAeVsQkSwxjzSd","Este mensaje fue eliminado","spotify:artist:4RK7b5enfCZ7DmrZCChxoi","Aren","spotify:album:7uJxjSzgS0kgPLzhlkmG2Z","Este mensaje fue eliminado","1","1","146302","","2020-11-15T10:07:15Z"
"spotify:track:1KuiFQ6MBR00bBNEqH33Zs","Distanciaos","spotify:artist:4RK7b5enfCZ7DmrZCChxoi, spotify:artist:0q3DZrcqvPZtjaDEZDGSFt","Aren, ElRoca","spotify:album:7mAPvXnxy1idFHhnVowsfH","Distanciaos","1","1","163479","","2020-11-15T10:04:36Z"
"spotify:track:2jLBlbegYDhxPkBPUJ2t9X","Otra Ronda Más","spotify:artist:3iY9PS7LxPnCVcCP7BjJOK, spotify:artist:5fmYDIdgEkSgLdL6esxgfp","Hens, Belén Aguilera","spotify:album:1kgCfLdMRat6yVnrFkfhI6","Otra Ronda Más","1","1","153944","","2020-11-12T14:07:10Z"
"spotify:track:3eXgzFwakpgcA9AXcWeG1a","Me Noto Distinto","spotify:artist:7uXKIO6VDeOCo6ImWZpZJn, spotify:artist:4NAeRqTT8u5AC9WUOMCLeM, spotify:artist:1T1XaAhbH2hFHDIAUhLAaa","Mayo 214, Fulston, La Cantera","spotify:album:67AJTxhPHnu11GWJtHl1Te","Me Noto Distinto","1","1","195423","","2020-11-10T10:17:07Z"
"spotify:track:2aQJOc2QUTdQl1J2Z9VxYO","Problemas","spotify:artist:6ONwLtT6vOzlO3pfZNAOMw","Paris Boy","spotify:album:0OXuXnfwVvYPtopY9XFRVE","Problemas","1","1","222892","","2020-11-07T16:27:29Z"
"spotify:track:0XinBYhf1X3kdvKQHOX971","Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)","spotify:artist:5TYxZTjIPqKM8K8NuP9woO, spotify:artist:5IbUz6BcOu6IVY512oxavP, spotify:artist:7xtnpHS34mLlxGZDVUBHSU","C. Tangana, Niño de Elche, La Húngara","spotify:album:7lRNtV18ZVeTYY2w5RhVf2","Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)","1","1","198499","","2020-11-06T12:42:01Z"
"spotify:track:7ql2RUmAmj36tkMUNWo7MT","A Un Paso De La Luna","spotify:artist:6k8mwkKJKKjBILo7ypBspl, spotify:artist:0L1f9i3L3fkMNENljDOsjG","Ana Mena, Rocco Hunt","spotify:album:0IuCnS7obPd6pE3lJx0Ax8","A Un Paso De La Luna","1","1","167313","","2020-11-03T19:10:04Z"
"spotify:track:5ndhxeC4EU0PAjAxyqtDUD","Aunque Me Duelas","spotify:artist:1tMWkquIkQtVD6vaZlDbSQ, spotify:artist:4d3kmfoZBTuUPSUjgP45uo","Chema Rivas, Lérica","spotify:album:4lWnHVhYEBYROvKiGeaPCl","Aunque Me Duelas","1","1","178750","","2020-11-03T18:49:48Z"
"spotify:track:5zj8WNkBrEzlI5FKeYV4ol","La Luz","spotify:artist:77ziqFxp5gaInVrF2lj4ht, spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5","Sech, J Balvin","spotify:album:68JMNFwtqRgtdY4ufFG8EE","La Luz","1","1","216746","","2020-11-02T16:37:01Z"
"spotify:track:47EiUVwUp4C9fGccaPuUCS","Dakiti","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:0EFisYRi20PTADoJrifHrz","Bad Bunny, Jhay Cortez","spotify:album:43dl8hP5uNN9s6YeeJA5fv","Dakiti","1","1","205090","","2020-11-01T22:45:54Z"
"spotify:track:5K4T7KJlGKoiwKA2nuQCjy","Qué Le Voy a Hacer","spotify:artist:3OQumEuDR7ZpOYpYoXrT14","Skechi Kid","spotify:album:0t9NNmY2tTWa4Xvq7iCpA2","Qué Le Voy a Hacer","1","1","231176","","2020-11-01T16:30:30Z"
"spotify:track:7p86AB1S0CeNeYc7CfWvGR","La noche me resbala","spotify:artist:5e4btuINxJ9yrpwBqdPqPq","Señor Trepador","spotify:album:3yK74pubVvBb4vSWye5A2l","Aforismos invertebrados","1","2","181839","","2020-11-01T11:41:47Z"
"spotify:track:1eWWdO6oIBdJT8SCXaYCYV","Tu Foto Del DNI","spotify:artist:4ckWVaYN8j0EZrNFRHmxZx, spotify:artist:7eLcDZDYHXZCebtQmVFL25","Marmi, Aitana","spotify:album:3NJKXmNaDC83yJhGX76Uc8","Tu Foto Del DNI","1","1","179653","","2020-10-31T15:20:42Z"
"spotify:track:0j6eJIII2AucQBgCGxPrFx","Millonario","spotify:artist:1aMt4A5jrQHxDYyC7rXgV0","Pol Granch","spotify:album:4dmb8dXKTk6GSh7zsBnF0r","Tengo Que Calmarme","1","6","189690","","2020-10-31T11:56:38Z"
"spotify:track:485KVYPmRISdLpKbaSJ81u","Oops (I'm Sorry)","spotify:artist:3hyEbRtp617pNCuuQjyOmc, spotify:artist:0JOxt5QOwq0czoJxvSc5hS, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Lost Kings, GASHI, Ty Dolla $ign","spotify:album:1ElsjvR5Stcl155XkRzJwK","Oops (I'm Sorry)","1","1","202486","","2020-10-30T23:22:23Z"
