"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:0j6eJIII2AucQBgCGxPrFx","Millonario","spotify:artist:1aMt4A5jrQHxDYyC7rXgV0","Pol Granch","spotify:album:4dmb8dXKTk6GSh7zsBnF0r","Tengo Que Calmarme","1","6","189690","spotify:user:martinigoyanes7","2020-10-31T15:05:29Z"
"spotify:track:485KVYPmRISdLpKbaSJ81u","Oops (I'm Sorry)","spotify:artist:3hyEbRtp617pNCuuQjyOmc, spotify:artist:0JOxt5QOwq0czoJxvSc5hS, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Lost Kings, GASHI, Ty Dolla $ign","spotify:album:1ElsjvR5Stcl155XkRzJwK","Oops (I'm Sorry)","1","1","202486","spotify:user:martinigoyanes7","2020-10-31T15:05:40Z"
"spotify:track:7r9ZhitdQBONTFOiJW5mr8","Reloj","spotify:artist:1mcTU81TzQhprhouKaTkpq, spotify:artist:2R21vXR83lH98kGeO99Y66","Rauw Alejandro, Anuel AA","spotify:album:56vYUqyoaBCrokFauIuXIk","Reloj","1","1","231594","spotify:user:martinigoyanes7","2020-10-31T15:05:45Z"
"spotify:track:74anwTmdyvA3f8RUtCQqKD","Déjame","spotify:artist:2KEDbpUlz9nwtGywHT4gyf","Los Secretos","spotify:album:1XVL4fl2DMeU1JOPVH6K17","Los Secretos","1","7","160000","spotify:user:martinigoyanes7","2020-10-31T15:05:55Z"
"spotify:track:07MrcfLozSPBfEI8GPOZgc","Como Panas","spotify:artist:6w9ToX5slZ4uIdmD17hJ3c","Bryant Myers","spotify:album:44YLTG6xQvRUc9vgOkMPjK","Como Panas","1","1","198997","spotify:user:martinigoyanes7","2020-10-31T15:06:48Z"
"spotify:track:4Ofg5uuH7qqDIXpAJMpXZV","Rayando El Sol","spotify:artist:7okwEbXzyT2VffBmyQBWLz","Maná","spotify:album:0umE2yr7H5jo91x7xhjoXY","Falta Amor","1","3","250106","spotify:user:martinigoyanes7","2020-10-31T15:07:04Z"
"spotify:track:73jXsDRsg1rIa8sOqI3fPI","Bipolar","spotify:artist:4P9xDIEyrtAeXRI6xOl2TS, spotify:artist:5AMBCoLbNgVCbA3XYMRlks","Pol 3.14, Cepeda","spotify:album:1j6r5P6TaJ8STOafigxUlc","Bipolar","1","1","251219","spotify:user:martinigoyanes7","2020-10-31T15:07:12Z"
"spotify:track:3Iql4v0ISjuMqj7MNkuWJX","Como Estrellas","spotify:artist:2Xi0zO1N71Ff9KymMs93YX","LA YOUNG","spotify:album:4CM8hbqwUgfo6vYTG4JHxm","Como Estrellas","1","1","219000","spotify:user:martinigoyanes7","2020-10-31T15:07:19Z"
"spotify:track:1nN6ix8q6AReMcqKctFElM","2018: Odisea en el Espacio","spotify:artist:40Ippe6JeofRURQ4nbF8DT","Taburete","spotify:album:3PPC9G47E3LQbWwYXNBpHq","2018: Odisea en el Espacio","1","1","212602","spotify:user:martinigoyanes7","2020-10-31T15:07:27Z"
"spotify:track:2ycUsRaFA2pnfvd3HQPWmG","Sanxenxo","spotify:artist:4FLnPEJpIOJkHuKVU4EKTC","Santi Pidal","spotify:album:6ZAIeZjqbygiP0XfJ81XKc","Sanxenxo","1","1","192073","spotify:user:martinigoyanes7","2020-10-31T15:07:34Z"
"spotify:track:6C6mUonH6MNdSg5pw7kOc9","Ayer Me Llamó Mi Ex (feat. Lenny Santos)","spotify:artist:4m6ubhNsdwF4psNf3R8kwR, spotify:artist:4bODqflR0Wo3i3fCwwCIPq","KHEA, Lenny Santos","spotify:album:0H01i14lrDJtgGU2LFImWL","Ayer Me Llamó Mi Ex (feat. Lenny Santos)","1","1","206760","spotify:user:martinigoyanes7","2020-10-31T15:07:55Z"
"spotify:track:16DNJ8y6k97DxuMyV49W7V","Dónde Estás","spotify:artist:4m6ubhNsdwF4psNf3R8kwR","KHEA","spotify:album:0ZyvU9dSoBua8NOYnAP0x3","Dónde Estás","1","1","153560","spotify:user:martinigoyanes7","2020-10-31T15:08:00Z"
