"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:6Et7bBOxtMxcCa7MyjKpr3","Brother’s Keeper","spotify:artist:4r63FhuTkUYltbVAg5TQnk","DaBaby","spotify:album:1rPgTGV5Hq3GNmlGl0iGqq","My Brother’s Keeper (Long Live G)","1","1","126858","spotify:user:","2020-11-20T20:35:10Z"
"spotify:track:7wAFfH245FJP77ZugGVISe","GTA (feat. 42 Dugg)","spotify:artist:20sxb77xiYeusSH8cVdatc, spotify:artist:45gHcnDnMC15sgx3VL7ROG","Meek Mill, 42 Dugg","spotify:album:5VOW9zYV8KoErvgrLYqKR2","QUARANTINE PACK","1","3","150486","spotify:user:","2020-11-20T05:01:25Z"
"spotify:track:7Ge141qhUeuglcOvgAkWBy","Movie (feat. Lil Durk)","spotify:artist:181bsRPaVXVlUKXrxwZfHK, spotify:artist:3hcs9uc56yIGFCSy9leWe7","Megan Thee Stallion, Lil Durk","spotify:album:0KjckH1EE6HRRurMIXSc0r","Good News","1","6","227375","spotify:user:","2020-11-20T05:01:25Z"
"spotify:track:7o4gBbTM6UBLkOYPw9xMCz","Moonwalking in Calabasas (feat. Blueface) - Remix","spotify:artist:0WK3H9OErSn5zKOkOV5egm, spotify:artist:3Fl1V19tmjt57oBdxXKAjJ","DDG, Blueface","spotify:album:1z02WpEdAuImwfySk43owY","Moonwalking in Calabasas (feat. Blueface) [Remix]","1","1","170232","spotify:user:","2020-10-02T04:15:02Z"
"spotify:track:1RSzyxqtIO4yX3EyiV4zT5","Whoopty","spotify:artist:7arQA31aZVS8yS6zUveWzb","CJ","spotify:album:3ammnTkzxZhKONeV75MJ8A","Whoopty","1","1","123480","spotify:user:","2020-10-23T04:02:39Z"
"spotify:track:4DuUwzP4ALMqpquHU0ltAB","Tyler Herro","spotify:artist:2LIk90788K0zvyj2JJVwkJ","Jack Harlow","spotify:album:4Vd7lpztpJdmMt9hrLfXWe","Tyler Herro","1","1","156497","spotify:user:","2020-10-23T04:02:39Z"
"spotify:track:1BPBcKcunC2olMIDEyQejT","Move On","spotify:artist:6jGMq4yGs7aQzuGsMgVgZR","Lil Tjay","spotify:album:1TxJa6SrgHSBJ0Jpeuolck","Move On","1","1","177528","spotify:user:","2020-11-20T05:01:25Z"
"spotify:track:49oXk8rg7uaqkbDSEVblMx","Handgun (feat. NoCap & Polo G)","spotify:artist:4r63FhuTkUYltbVAg5TQnk, spotify:artist:4PNHuWkk4ee6R8WEhFVPf5, spotify:artist:6AgTAQt8XS6jRWi4sX7w49","DaBaby, NoCap, Polo G","spotify:album:1rPgTGV5Hq3GNmlGl0iGqq","My Brother’s Keeper (Long Live G)","1","5","154315","spotify:user:","2020-11-20T20:35:10Z"
"spotify:track:5SWnsxjhdcEDc7LJjq9UHk","Runnin","spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","21 Savage, Metro Boomin","spotify:album:6wTyGUWGCilBFZ837k5aRi","SAVAGE MODE II","1","2","195906","spotify:user:","2020-10-02T04:15:02Z"
"spotify:track:0s8QrhtXW1Av2tuLLerDjN","Onna Come Up","spotify:artist:0rpUnzu4JIoRkKkGvdcm7b","Lil Eazzyy","spotify:album:7eosioL37wzztd2a3a9oJK","Onna Come Up","1","1","128078","spotify:user:","2020-09-25T04:03:27Z"
"spotify:track:4aarlAfLKVCTxUDNgbwhjH","Cry Baby (feat. DaBaby)","spotify:artist:181bsRPaVXVlUKXrxwZfHK, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Megan Thee Stallion, DaBaby","spotify:album:0KjckH1EE6HRRurMIXSc0r","Good News","1","3","137983","spotify:user:","2020-11-20T05:14:44Z"
"spotify:track:4Q34FP1AT7GEl9oLgNtiWj","Mr. Right Now (feat. Drake)","spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:3TVXtAsR1Inumwj472S9r4","21 Savage, Metro Boomin, Drake","spotify:album:6wTyGUWGCilBFZ837k5aRi","SAVAGE MODE II","1","4","193838","spotify:user:","2020-10-02T04:15:02Z"
"spotify:track:3DhQknNJsPtkRj1D7bxjvl","No Flash","spotify:artist:1pPmIToKXyGdsCF6LmqLmI, spotify:artist:7wlFDEWiM5OoIAt8RSli8b","Rich The Kid, YoungBoy Never Broke Again","spotify:album:1w3bK9CG80xsuDPlrz5EV7","Nobody Safe","1","2","141692","spotify:user:","2020-11-20T05:01:25Z"
"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Lemonade (feat. Gunna, Don Toliver & NAV)","spotify:artist:6MPCFvOQv5cIGfw3jODMF0, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ, spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:7rkW85dBwwrJtlHRDkJDAC","Internet Money, Gunna, Don Toliver, NAV","spotify:album:2vGU0DOcfsDee0euvhl1iZ","B4 The Storm","1","17","195428","spotify:user:","2020-10-09T04:02:16Z"
"spotify:track:2r6OAV3WsYtXuXjvJ1lIDi","Hello (feat. A Boogie Wit da Hoodie)","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj, spotify:artist:31W5EY0aAly4Qieq6OFu6I","Pop Smoke, A Boogie Wit da Hoodie","spotify:album:2MDU46hcBn3u94s46BOSdv","Shoot For The Stars Aim For The Moon (Deluxe)","1","30","190534","spotify:user:","2020-11-20T05:01:25Z"
"spotify:track:1SF8piqsZWn86DajVKih8F","Kacey Talk","spotify:artist:7wlFDEWiM5OoIAt8RSli8b","YoungBoy Never Broke Again","spotify:album:6MbQdX6OomgQhZU6QCqMKW","Top","1","6","151248","spotify:user:","2020-09-18T18:50:57Z"
"spotify:track:4Z5FyQlevoHoa5FsIVKZju","PRACTICE","spotify:artist:4r63FhuTkUYltbVAg5TQnk","DaBaby","spotify:album:6SL49HqoUwu2hhfukBAK3Q","BLAME IT ON BABY (DELUXE)","1","2","122586","spotify:user:","2020-10-16T04:01:39Z"
